problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name
Problem 1,A,S3,45,3,1,0,0,1,1,1,1,0,0:02:22,Problem1
Problem 2,A,S3,116,2,1,0,0,1,1,0,0,0,0:04:59,Problem2
Problem 3,B,S3,59,4,1,3,0,4,0,0,1,0,0:03:54,Problem3
Problem 4,B,S3,405,10,1,4,0,8,1,1,1,0,0:17:37,Problem4
Problem 5,A,S3,135,2,1,0,0,2,0,0,1,0,0:03:22,Problem5
Problem 1,A,S4,20,1,1,0,0,0,1,0,1,0,0:00:51,Problem1
Problem 2,A,S4,403,2,1,0,0,1,1,0,1,0,0:07:04,Problem2
Problem 3,A,S4,36,1,2,0,0,1,0,0,1,0,0:07:56,"2017-08-14 15:20:47, Problem3 - Ver. 0"
Problem 4,A,S4,272,3,5,0,0,1,1,1,0,0,0:14:37,Problem4
Problem 5,C,S4,26,3,1,0,1,1,1,1,0,0,0:01:55,Problem5
Problem 1,A,S5,255,4,1,0,0,2,2,0,1,0,0:06:01,problem1
Problem 2,A,S5,287,2,2,0,0,1,1,0,0,0,0:04:40,problem2
Problem 3,A,S5,136,3,1,0,0,1,1,1,1,0,0:03:50,problem 3
Problem 4,A,S5,154,5,1,0,0,2,3,0,1,0,0:09:50,problem4
Problem 5,A,S5,74,1,1,0,0,1,0,0,1,0,0:01:59,problem5
Problem 1,A,S6,348,4,1,0,0,1,2,1,1,0,0:16:07,Problem1
Problem 2,A,S6,618,3,3,0,0,1,1,1,1,0,0:13:38,Problem2
Problem 3,A,S6,30,2,1,0,0,1,0,1,0,0,0:02:08,Problem3
Problem 4,A,S6,104,3,1,0,0,1,0,2,0,0,0:06:35,Problem4
Problem 5,A,S6,45,1,1,0,0,1,0,0,0,0,0:05:08,Problem5
Problem 1,A,S7,166,3,1,0,0,1,2,0,1,0,0:07:49,PROBLEM1
Problem 2,A,S7,40,2,1,0,0,1,1,0,1,0,0:02:36,problem2
Problem 3,B,S7,74,5,1,4,0,5,0,0,1,0,0:04:05,problem3
Problem 4,B,S7,188,7,14,5,0,6,0,1,0,0,0:13:57,problem4
Problem 5,A,S7,38,1,1,0,0,1,0,0,0,0,0:02:12,problem5
Problem 1,A,S8,47,3,1,0,0,1,1,1,1,0,0:01:45,Problem1
Problem 2,A,S8,61,3,1,0,0,1,1,1,0,0,0:02:13,Problem2
