problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,confidence
Problem 1,A,S3,45,3,1,0,0,1,1,1,1,0,0:02:22,Problem1,5
Problem 2,A,S3,116,2,1,0,0,1,1,0,0,0,0:04:59,Problem2,5
Problem 3,B,S3,59,4,1,3,0,4,0,0,1,0,0:03:54,Problem3,7
Problem 4,B,S3,405,10,1,4,0,8,1,1,1,0,0:17:37,Problem4,2
Problem 5,A,S3,135,2,1,0,0,2,0,0,1,0,0:03:22,Problem5,2
Problem 1,A,S4,20,1,1,0,0,0,1,0,1,0,0:00:51,Problem1,7
Problem 2,A,S4,403,2,1,0,0,1,1,0,1,0,0:07:04,Problem2,7
Problem 3,A,S4,36,1,2,0,0,1,0,0,1,0,0:07:56,"2017-08-14 15:20:47, Problem3 - Ver. 0",7
Problem 4,A,S4,272,3,5,0,0,1,1,1,0,0,0:14:37,Problem4,7
Problem 5,C,S4,26,3,1,0,1,1,1,1,0,0,0:01:55,Problem5,7
Problem 1,A,S5,255,4,1,0,0,2,2,0,1,0,0:06:01,problem1,7
Problem 2,A,S5,287,2,2,0,0,1,1,0,0,0,0:04:40,problem2,5
Problem 3,A,S5,136,3,1,0,0,1,1,1,1,0,0:03:50,problem 3,5
Problem 4,A,S5,154,5,1,0,0,2,3,0,1,0,0:09:50,problem4,6
Problem 5,A,S5,74,1,1,0,0,1,0,0,1,0,0:01:59,problem5,4
Problem 1,A,S6,348,4,1,0,0,1,2,1,1,0,0:16:07,Problem1,5
Problem 2,A,S6,618,3,3,0,0,1,1,1,1,0,0:13:38,Problem2,6
Problem 3,A,S6,30,2,1,0,0,1,0,1,0,0,0:02:08,Problem3,6
Problem 4,A,S6,104,3,1,0,0,1,0,2,0,0,0:06:35,Problem4,6
Problem 5,A,S6,45,1,1,0,0,1,0,0,0,0,0:05:08,Problem5,6
Problem 1,A,S7,166,3,1,0,0,1,2,0,1,0,0:07:49,PROBLEM1,6
Problem 2,A,S7,40,2,1,0,0,1,1,0,1,0,0:02:36,problem2,4
Problem 3,B,S7,74,5,1,4,0,5,0,0,1,0,0:04:05,problem3,7
Problem 4,B,S7,188,7,14,5,0,6,0,1,0,0,0:13:57,problem4,7
Problem 5,A,S7,38,1,1,0,0,1,0,0,0,0,0:02:12,problem5,3
Problem 1,A,S8,47,3,1,0,0,1,1,1,1,0,0:01:45,Problem1,7
Problem 2,A,S8,61,3,1,0,0,1,1,1,0,0,0:02:13,Problem2,7
Problem 3,B,S8,56,4,1,3,0,4,0,0,1,0,0:02:54,Problem3,7
Problem 4,A,S8,392,3,8,0,0,1,0,2,0,0,0:09:02,Problem4,7
Problem 5,A,S8,36,1,1,0,0,1,0,0,0,0,0:01:10,Problem5,7
Problem 1,A,S9,234,2,1,0,0,1,1,0,1,0,0:06:34,Problem1,7
Problem 2,A,S9,135,1,1,0,0,1,0,0,0,0,0:04:23,Problem 2,7
Problem 3,C,S9,68,1,1,0,1,1,0,0,1,0,0:03:37,Problem 3,7
Problem 4,C,S9,25,1,1,0,1,1,0,0,0,0,0:02:35,Problem 4,7
Problem 5,C,S9,75,1,1,0,1,1,0,0,0,0,0:02:57,Problem 5,7
Problem 1,A,S10,338,7,4,0,0,1,5,1,1,0,0:09:01,Problem1,3
Problem 2,A,S10,33,2,1,0,0,1,1,0,0,0,0:02:19,Problem2,4
Problem 3,B,S10,58,3,3,2,0,3,0,0,1,0,0:05:44,Problem3,6
Problem 4,B,S10,70,3,4,2,0,3,0,0,1,0,0:09:11,Problem4,6
Problem 5,A,S10,74,1,2,0,0,1,0,0,1,0,0:05:51,Problem5,4
Problem 1,A,S11,49,2,1,0,0,1,0,1,1,0,0:01:20,problem1,4
Problem 2,D,S11,271,4,1,1,1,2,1,1,1,5,0:09:09,Problem2,4
Problem 3,B,S11,117,4,1,3,0,4,0,0,1,0,0:04:30,Problem 3,6
Problem 4,A,S11,73,1,5,0,0,1,0,0,1,0,0:06:00,Problem 4,6
Problem 5,C,S11,26,1,1,0,1,1,0,0,1,0,0:02:15,problem 5,6
Problem 1,A,S12,338,4,1,0,0,1,2,1,0,0,0:08:49,Problem1,5
Problem 2,B,S12,100,2,1,1,0,1,1,0,0,0,0:07:12,Problem2,5
Problem 3,B,S12,47,5,1,4,0,5,0,0,1,0,0:02:58,Problem3,7
Problem 4,B,S12,787,10,1,1,0,7,0,3,1,0,0:12:38,Problem4,7
Problem 5,A,S12,106,3,1,0,0,1,1,1,1,0,0:04:13,Problem 5,7
Problem 1,A,S13,74,2,2,0,0,1,0,1,1,0,0:02:30,Problem1,5
Problem 2,A,S13,28,1,1,0,0,0,0,1,0,0,0:01:55,Problem2,6
Problem 3,D,S13,79,1,1,0,0,1,0,0,1,9,0:06:13,Problem3,7
Problem 4,A,S13,140,6,7,0,0,6,0,0,1,0,0:10:24,Problem4,7
Problem 5,A,S13,44,1,1,0,0,1,0,0,0,0,0:03:30,Problem5,7
Problem 1,A,S14,44,2,1,0,0,1,1,0,1,0,0:01:41,Problem1,5
Problem 2,C,S14,84,2,1,0,1,1,1,0,1,0,0:01:13,Problem2,7
Problem 3,D,S14,142,2,1,0,1,1,1,0,1,29,0:04:21,Problem3,7
