Group,User,Time,View,Annotation
A,S3,220.5,2.5,1.0
B,S3,645.5,7.0,1.0
A,S4,457.0,1.75,2.25
A,S5,365.25,3.5,1.25
A,S6,577.0,3.0,1.5
A,S7,312.5,2.5,1.0
B,S7,541.0,6.0,7.5
A,S8,260.0,3.0,3.3333333333333335
B,S8,174.0,4.0,1.0
A,S9,328.5,1.5,1.0
B,S9,186.0,1.0,1.0
A,S10,340.0,4.5,2.5
B,S10,447.5,3.0,3.5
A,S12,529.0,4.0,1.0
B,S12,456.0,5.666666666666667,1.0
A,S16,326.0,2.3333333333333335,2.3333333333333335
B,S16,930.0,14.0,3.0
A,S18,459.0,3.0,1.0
B,S18,728.3333333333334,4.666666666666667,8.0
A,S19,198.66666666666666,2.0,1.3333333333333333
B,S19,491.0,4.0,3.0
A,S20,230.0,2.0,1.0
B,S20,610.3333333333334,4.666666666666667,3.0
A,S21,218.0,2.5,1.0
B,S21,599.5,8.0,5.0
A,S22,443.3333333333333,3.0,1.0
B,S22,1091.0,13.0,1.0
A,S23,176.0,2.0,1.0
B,S23,686.6666666666666,6.666666666666667,3.0
A,S24,471.5,3.0,1.0
B,S24,456.0,1.5,6.0
A,S25,121.0,1.5,4.0
B,S25,386.5,5.0,1.0
A,S26,114.5,2.0,1.0
B,S26,337.0,2.5,6.0
A,S27,202.25,1.5,1.0
A,S28,374.0,1.5,1.0
B,S28,408.0,4.5,1.0
A,S29,220.5,2.25,1.0
A,S30,171.0,2.0,2.0
B,S30,412.0,5.0,1.0
A,S31,410.0,3.75,1.25
A,S32,168.33333333333334,1.3333333333333333,1.0
B,S32,205.0,1.0,1.0
A,S33,340.25,4.5,2.75
A,S34,359.0,2.0,1.0
B,S34,482.6666666666667,4.666666666666667,1.0
A,S36,367.0,2.0,1.0
B,S36,484.0,7.0,6.0
A,S37,242.75,1.75,1.25
A,A1,291.3333333333333,2.0,1.0
B,A1,706.0,9.0,1.0
A,A6,247.33333333333334,2.3333333333333335,3.0
B,A6,362.0,4.0,1.0
A,A9,278.6666666666667,4.0,1.0
B,A9,876.0,14.0,1.0
A,A11,168.66666666666666,2.3333333333333335,1.0
B,A11,672.0,12.0,1.0
A,A12,244.66666666666666,2.0,1.0
B,A12,1121.0,8.0,5.0
A,A21,309.6666666666667,3.0,3.6666666666666665
B,A21,365.0,10.0,7.0
A,B4,410.6666666666667,4.0,1.3333333333333333
B,B4,131.0,3.0,1.0
A,B12,198.0,3.0,1.0
A,B13,296.25,1.25,2.0
A,B14,296.5,3.5,2.5
B,B14,452.0,6.5,6.5
A,B15,295.0,3.0,1.0
B,B15,309.5,3.0,1.0
A,B16,312.25,5.5,1.0
A,B17,121.0,3.0,1.0
B,B17,449.5,5.0,1.0
A,B18,216.0,1.5,1.0
B,B18,404.5,3.5,1.0
A,B19,139.5,1.5,1.0
B,B19,468.5,8.0,1.5
A,B20,172.5,1.5,1.0
B,B20,673.5,7.5,2.0
A,B21,250.0,2.6666666666666665,1.0
B,B21,1517.0,9.0,2.0
B,B22,415.25,6.0,1.0
A,B24,482.0,3.3333333333333335,2.3333333333333335
B,B24,523.0,12.0,4.0
A,B26,221.0,2.25,1.25
A,B27,194.5,2.0,1.0
B,B27,491.0,8.0,6.0
A,B28,248.75,3.5,1.0
A,B29,387.75,4.0,1.25
A,B31,123.0,2.0,1.0
B,B31,402.0,5.5,1.0
A,B32,344.0,3.0,1.0
B,B32,564.5,5.5,2.0
A,B33,216.5,2.0,1.0
B,B33,691.0,5.5,5.5
A,B34,280.0,3.5,1.0
B,B34,405.5,5.0,4.0
A,B35,247.0,2.0,1.0
B,B35,601.3333333333334,8.333333333333334,1.0
A,B36,89.5,1.0,1.0
B,B36,287.5,5.5,1.0
A,B37,250.75,2.5,1.0
A,B39,400.75,3.75,1.0
A,B40,232.66666666666666,2.3333333333333335,1.0
B,B40,1118.0,12.0,1.0
A,B42,108.0,2.0,1.0
B,B42,441.0,3.0,2.0
A,B43,286.5,3.25,1.75
A,B44,255.5,4.75,1.0
A,B45,465.0,4.333333333333333,1.0
B,B45,639.0,9.0,1.0
A,B46,207.75,3.25,1.0
A,B48,531.6666666666666,2.6666666666666665,1.0
B,B48,99.0,5.0,2.0
A,B49,181.5,3.0,1.0
B,B49,290.0,4.5,1.0
