problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore
Problem 1,A,A1,189,4,1,0,0,2,1,1,1,0
Problem 2,A,A1,104,1,1,0,0,1,0,0,0,0
Problem 3,A,A1,76,1,1,0,0,1,0,0,1,0
Problem 4,B,A1,503,10,1,2,0,8,0,2,1,0
Problem 5,A,A1,72,1,1,0,0,1,0,0,1,0
Problem 1,A,A2,43,3,1,0,0,1,1,1,1,0
Problem 2,A,A2,125,3,1,0,0,1,1,1,1,0
Problem 3,A,A2,24,1,1,0,0,0,1,0,0,0
Problem 4,A,A2,63,1,1,0,0,0,0,1,0,0
Problem 5,A,A2,117,2,1,0,0,0,1,1,0,0
Problem 1,A,A3,137,6,2,0,0,2,2,2,1,0
Problem 2,A,A3,95,8,2,0,0,2,2,4,0,0
Problem 3,A,A3,545,8,4,0,0,8,0,0,0,0
Problem 4,A,A3,526,4,12,0,0,2,0,2,0,0
Problem 5,A,A3,1012,38,12,0,0,28,8,2,0,0
Problem 1,A,A4,245,5,1,0,0,2,2,1,1,0
Problem 2,A,A4,120,4,1,0,0,1,2,1,1,0
Problem 3,A,A4,50,1,2,0,0,1,0,0,0,0
Problem 4,A,A4,120,1,5,0,0,1,0,0,1,0
Problem 5,A,A4,72,2,1,0,0,1,0,1,1,0
Problem 1,A,A5,334,4,1,0,0,1,2,1,1,0
Problem 2,A,A5,76,2,1,0,0,0,1,1,0,0
Problem 3,A,A5,98,3,1,0,0,1,1,1,0,0
Problem 4,A,A5,356,5,4,0,0,2,0,3,0,0
Problem 5,A,A5,312,2,7,0,0,2,0,0,0,0
Problem 1,A,A6,95,3,1,0,0,0,3,0,1,0
Problem 2,B,A6,90,6,1,1,0,3,1,2,1,0
Problem 3,A,A6,177,5,4,0,0,2,3,0,1,0
Problem 4,A,A6,117,1,4,0,0,1,0,0,1,0
Problem 5,A,A6,19,1,1,0,0,1,0,0,1,0
Problem 1,A,A7,120,4,1,0,0,1,1,2,1,0
Problem 2,A,A7,454,2,1,0,0,1,1,0,0,0
Problem 3,A,A7,209,1,1,0,0,1,0,0,1,0
Problem 4,A,A7,321,3,1,0,0,2,0,1,1,0
Problem 5,A,A7,111,1,1,0,0,1,0,0,1,0
Problem 1,A,A8,215,5,2,0,0,2,2,1,1,0
Problem 2,A,A8,81,3,1,0,0,1,1,1,0,0
Problem 3,A,A8,55,3,1,0,0,1,0,2,0,0
Problem 4,A,A8,303,6,9,0,0,3,2,1,0,0
Problem 5,A,A8,353,5,4,0,0,4,0,1,0,0
Problem 1,A,A9,67,6,1,0,0,2,3,1,1,0
Problem 2,A,A9,36,2,1,0,0,1,1,0,0,0
Problem 3,B,A9,324,15,1,3,0,11,0,4,1,0
Problem 4,A,A9,383,5,1,0,0,4,0,1,1,0
Problem 5,A,A9,74,3,1,0,0,3,0,0,1,0
Problem 1,A,A11,54,4,1,0,0,2,1,1,1,0
Problem 2,B,A11,208,12,1,4,0,2,3,7,1,0
Problem 3,A,A11,17,1,1,0,0,1,0,0,0,0
Problem 4,A,A11,29,2,1,0,0,1,0,1,0,0
Problem 5,A,A11,30,1,1,0,0,1,0,0,0,0
Problem 1,A,A12,224,3,1,0,0,1,1,1,1,0
Problem 2,B,A12,687,8,5,1,0,3,3,2,1,0
Problem 3,A,A12,60,2,1,0,0,1,0,1,1,0
Problem 4,A,A12,395,1,1,0,0,1,0,0,1,0
