problem,group,user,time
Problem 1,B,S3,0:02:22
Problem 2,B,S3,0:04:59
Problem 3,C,S3,0:03:54
Problem 4,C,S3,0:17:37
Problem 5,B,S3,0:03:22
Problem 1,B,S4,0:00:51
Problem 2,B,S4,0:07:04
Problem 3,B,S4,0:07:56
Problem 4,B,S4,0:14:37
Problem 5,C,S4,0:01:55
Problem 1,B,S5,0:06:01
Problem 2,B,S5,0:04:40
Problem 3,B,S5,0:03:50
Problem 4,B,S5,0:09:50
Problem 5,B,S5,0:01:59
Problem 1,B,S6,0:16:07
Problem 2,B,S6,0:13:38
Problem 3,B,S6,0:02:08
Problem 4,B,S6,0:06:35
Problem 5,B,S6,0:05:08
Problem 1,B,S7,0:07:49
Problem 2,B,S7,0:02:36
Problem 3,C,S7,0:04:05
Problem 4,C,S7,0:13:57
Problem 5,B,S7,0:02:12
Problem 1,B,S8,0:01:45
Problem 2,B,S8,0:02:13
Problem 3,C,S8,0:02:54
Problem 4,B,S8,0:09:02
Problem 5,B,S8,0:01:10
Problem 1,B,S9,0:06:34
Problem 2,B,S9,0:04:23
Problem 3,C,S9,0:03:37
Problem 4,C,S9,0:02:35
Problem 5,C,S9,0:02:57
Problem 1,B,S10,0:09:01
Problem 2,B,S10,0:02:19
Problem 3,C,S10,0:05:44
Problem 4,C,S10,0:09:11
Problem 5,B,S10,0:05:51
Problem 1,B,S12,0:08:49
Problem 2,C,S12,0:07:12
Problem 3,C,S12,0:02:58
Problem 4,C,S12,0:12:38
Problem 5,B,S12,0:04:13
Problem 1,B,S16,0:08:02
Problem 2,B,S16,0:02:32
Problem 3,B,S16,0:05:44
Problem 4,C,S16,0:15:30
Problem 5,C,S16,0:05:27
Problem 1,B,S18,0:07:39
Problem 2,C,S18,0:09:47
Problem 3,C,S18,0:07:59
Problem 4,C,S18,0:18:39
Problem 5,C,S18,0:03:19
Problem 1,B,S19,0:03:47
Problem 2,B,S19,0:03:47
Problem 3,B,S19,0:02:22
Problem 4,C,S19,0:08:11
Problem 5,B,S19,0:01:48
Problem 1,C,S20,0:09:26
Problem 2,B,S20,0:03:50
Problem 3,C,S20,0:05:09
Problem 4,C,S20,0:15:56
Problem 5,C,S20,0:01:52
Problem 1,B,S21,0:03:03
Problem 2,B,S21,0:04:13
Problem 3,C,S21,0:06:27
Problem 4,C,S21,0:13:32
Problem 5,B,S21,0:02:39
Problem 1,B,S22,0:06:16
Problem 2,B,S22,0:09:43
Problem 3,C,S22,0:18:11
Problem 4,B,S22,0:06:11
Problem 5,C,S22,0:12:48
Problem 1,B,S23,0:02:56
Problem 2,C,S23,0:02:04
Problem 3,C,S23,0:01:34
Problem 4,C,S23,0:30:42
Problem 5,C,S23,0:03:04
Problem 1,B,S24,0:09:03
Problem 2,B,S24,0:06:40
Problem 3,C,S24,0:04:34
Problem 4,C,S24,0:10:38
Problem 5,B,S24,0:01:55
Problem 1,C,S25,0:08:19
Problem 2,B,S25,0:02:19
Problem 3,C,S25,0:04:34
Problem 4,B,S25,0:01:43
Problem 5,C,S25,0:02:09
Problem 1,B,S26,0:01:50
Problem 2,B,S26,0:01:59
Problem 3,C,S26,0:02:35
Problem 4,C,S26,0:08:39
Problem 5,C,S26,0:02:00
Problem 1,B,S27,0:02:34
Problem 2,B,S27,0:03:15
Problem 3,B,S27,0:03:49
Problem 4,B,S27,0:03:51
Problem 5,B,S27,0:01:14
Problem 1,B,S28,0:08:22
Problem 2,C,S28,0:05:54
Problem 3,B,S28,0:04:06
Problem 4,C,S28,0:07:42
Problem 5,C,S28,0:05:04
Problem 1,B,S29,0:03:47
Problem 2,B,S29,0:03:57
Problem 3,B,S29,0:01:55
Problem 4,B,S29,0:05:03
Problem 5,B,S29,0:08:27
Problem 1,B,S30,0:04:33
Problem 2,C,S30,0:06:37
Problem 3,B,S30,0:01:09
Problem 4,C,S30,0:07:07
Problem 5,B,S30,0:01:56
Problem 1,B,S31,0:06:43
Problem 2,B,S31,0:03:47
Problem 3,B,S31,0:11:05
Problem 4,B,S31,0:05:45
Problem 5,B,S31,0:09:24
Problem 1,B,S32,0:03:15
Problem 2,B,S32,0:02:01
Problem 3,B,S32,0:03:09
Problem 4,C,S32,0:03:25
Problem 5,B,S32,0:01:43
Problem 1,B,S33,0:05:13
Problem 2,B,S33,0:01:33
Problem 3,B,S33,0:03:40
Problem 4,B,S33,0:12:15
Problem 5,C,S33,0:06:29
Problem 1,C,S34,0:08:38
Problem 2,C,S34,0:06:28
Problem 3,B,S34,0:05:59
Problem 4,C,S34,0:09:02
Problem 5,B,S34,0:03:37
Problem 1,B,S36,0:01:14
