problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,time,confidence
Problem 1,B,S3,45,3,1,0,0,1,1,1,1,0:02:22,7
Problem 2,B,S3,116,2,1,0,0,1,1,0,0,0:04:59,7
Problem 3,C,S3,59,4,1,3,0,4,0,0,1,0:03:54,7
Problem 4,C,S3,405,10,1,4,0,8,1,1,1,0:17:37,7
Problem 5,B,S3,135,2,1,0,0,2,0,0,1,0:03:22,7
Problem 1,B,S4,20,1,1,0,0,0,1,0,1,0:00:51,7
Problem 2,B,S4,403,2,1,0,0,1,1,0,1,0:07:04,5
Problem 3,B,S4,36,1,2,0,0,1,0,0,1,0:07:28,5
Problem 4,B,S4,272,3,5,0,0,1,1,1,0,0:14:37,6
Problem 5,C,S4,26,3,1,0,1,1,1,1,0,0:01:55,4
Problem 1,B,S5,255,4,1,0,0,2,2,0,1,0:05:29,5
Problem 2,B,S5,287,2,2,0,0,1,1,0,0,0:04:40,6
Problem 3,B,S5,136,3,1,0,0,1,1,1,1,0:03:50,6
Problem 4,B,S5,154,5,1,0,0,2,3,0,1,0:09:28,6
Problem 5,B,S5,74,1,1,0,0,1,0,0,1,0:01:59,6
Problem 1,B,S6,348,4,1,0,0,1,2,1,1,0:12:52,6
Problem 2,B,S6,618,3,3,0,0,1,1,1,1,0:13:16,4
Problem 3,B,S6,30,2,1,0,0,1,0,1,0,0:02:08,7
Problem 4,B,S6,104,3,1,0,0,1,0,2,0,0:05:45,7
Problem 5,B,S6,45,1,1,0,0,1,0,0,0,0:04:55,3
Problem 1,B,S7,166,3,1,0,0,1,2,0,1,0:06:40,7
Problem 2,B,S7,40,2,1,0,0,1,1,0,1,0:02:36,7
Problem 3,C,S7,74,5,1,4,0,5,0,0,1,0:04:01,7
Problem 4,C,S7,188,7,14,5,0,6,0,1,0,0:12:42,7
Problem 5,B,S7,38,1,1,0,0,1,0,0,0,0:01:59,7
Problem 1,B,S8,47,3,1,0,0,1,1,1,1,0:01:45,7
Problem 2,B,S8,61,3,1,0,0,1,1,1,0,0:02:13,7
Problem 3,C,S8,56,4,1,3,0,4,0,0,1,0:02:34,7
Problem 4,B,S8,392,3,8,0,0,1,0,2,0,0:08:51,7
Problem 5,B,S8,36,1,1,0,0,1,0,0,0,0:01:10,7
Problem 1,B,S9,234,2,1,0,0,1,1,0,1,0:06:34,3
Problem 2,B,S9,135,1,1,0,0,1,0,0,0,0:04:23,4
Problem 3,C,S9,68,1,1,0,1,1,0,0,1,0:03:37,6
Problem 4,C,S9,25,1,1,0,1,1,0,0,0,0:02:35,6
Problem 5,C,S9,75,1,1,0,1,1,0,0,0,0:02:57,4
Problem 1,B,S10,338,7,4,0,0,1,5,1,1,0:07:47,4
Problem 2,B,S10,33,2,1,0,0,1,1,0,0,0:02:19,4
Problem 3,C,S10,58,3,3,2,0,3,0,0,1,0:05:17,6
Problem 4,C,S10,70,3,4,2,0,3,0,0,1,0:09:11,6
Problem 5,B,S10,74,1,2,0,0,1,0,0,1,0:05:51,6
Problem 1,B,S12,338,4,1,0,0,1,2,1,0,0:08:49,5
Problem 2,C,S12,100,2,1,1,0,1,1,0,0,0:07:12,6
Problem 3,C,S12,47,5,1,4,0,5,0,0,1,0:02:58,7
Problem 4,C,S12,787,10,1,1,0,7,0,3,1,0:12:38,7
Problem 5,B,S12,106,3,1,0,0,1,1,1,1,0:04:13,7
Problem 1,B,S16,195,3,2,0,0,1,1,1,1,0:06:47,7
Problem 2,B,S16,105,3,1,0,0,1,2,0,1,0:02:22,7
Problem 3,B,S16,220,1,4,0,0,1,0,0,1,0:05:44,7
Problem 4,C,S16,360,14,3,12,0,14,0,0,1,0:15:16,7
Problem 5,C,S16,150,14,1,12,1,14,0,0,1,0:05:27,7
Problem 1,B,S18,109,3,1,0,0,1,1,1,0,0:07:39,6
Problem 2,C,S18,362,6,1,0,1,1,4,1,0,0:09:47,5
Problem 3,C,S18,128,4,12,3,0,4,0,0,1,0:07:59,7
Problem 4,C,S18,478,4,11,2,0,4,0,0,1,0:18:30,7
