time,angle
ÿþ0.01140976,0.5892944
0.03141022,0.5905457
0.05141068,0.5973816
0.07141113,0.5776978
0.09140968,0.5745239
0.1114101,0.569458
0.1314106,0.5758362
0.1514111,0.5888367
0.1714096,0.5944824
0.1914101,0.6026611
0.2114105,0.5760803
0.231411,0.5760803
0.2514114,0.5635071
0.27141,0.5595703
0.2914104,0.5383606
0.3114109,0.5102234
0.3314114,0.525177
0.3514099,0.5242615
0.3714104,0.528717
0.3914108,0.5421448
0.4114113,0.5338745
0.4314098,0.5441589
0.4514103,0.5419922
0.4714108,0.5431519
0.4914112,0.5524292
0.5114098,0.554657
0.5314102,0.561676
0.5514107,0.5524292
0.5714111,0.5482178
0.5914097,0.5646362
0.6114101,0.571991
0.6314106,0.5734558
0.6514111,0.576416
0.6714096,0.5725098
0.6914101,0.5787048
0.7114105,0.5862732
0.731411,0.5867004
0.7514114,0.5969238
0.77141,0.6050415
0.7914104,0.6087952
0.8114109,0.6262817
0.8314114,0.6263428
0.8514099,0.6276855
0.8714104,0.6387634
0.8914108,0.6334839
0.9114113,0.6160889
0.9314098,0.6092529
0.9514103,0.5941772
0.9714108,0.5810242
0.9914112,0.5881348
1.01141,0.5945435
1.03141,0.591217
1.051411,0.5862732
1.071411,0.5819397
1.09141,0.5646667
1.11141,0.5510254
1.131411,0.5511169
1.151411,0.5456848
1.17141,0.5462341
1.19141,0.5477295
1.211411,0.5513916
1.231411,0.5552673
1.251411,0.5552673
1.27141,0.552948
1.29141,0.541626
1.311411,0.5422974
1.331411,0.5267334
1.35141,0.5264282
1.37141,0.5307007
1.391411,0.5319824
1.411411,0.5327454
1.43141,0.533905
1.45141,0.5370483
1.471411,0.5420837
1.491411,0.5453491
1.51141,0.5487061
1.53141,0.5448608
1.551411,0.5490417
1.571411,0.5456238
1.59141,0.5244446
1.61141,0.5106506
1.631411,0.50354
1.651411,0.4968872
1.67141,0.5013123
1.69141,0.5101929
1.711411,0.5118713
1.731411,0.5201416
1.75141,0.4925842
1.77141,0.5014343
1.79141,0.5044861
1.811411,0.5065613
1.831411,0.5084229
1.85141,0.509552
1.87141,0.5074158
1.891411,0.4956055
1.911411,0.4941406
1.93141,0.5015259
1.95141,0.5069885
1.971411,0.5183411
1.991411,0.5107727
2.01141,0.4866638
2.03141,0.4866638
2.051411,0.4758606
2.071411,0.4794922
2.09141,0.4693909
2.11141,0.4690552
2.131411,0.4660339
2.151411,0.4695129
2.17141,0.4842834
2.19141,0.480835
2.211411,0.482605
2.231411,0.4674072
2.25141,0.4508057
2.27141,0.4172668
2.29141,0.408905
2.311411,0.4022217
2.331411,0.383728
2.35141,0.3755188
2.37141,0.377655
2.391411,0.3609924
2.411411,0.3534241
2.43141,0.3320618
2.45141,0.3291321
2.471411,0.323761
2.491411,0.3231201
2.51141,0.2983704
