time,angle
ÿþ0.006500244,0.1412354
0.02648926,0.1380615
0.04647827,0.1201782
0.0664978,0.09628296
0.08648682,0.07879639
0.1064758,0.1046143
0.1264954,0.1165771
0.1464844,0.1055603
0.1665039,0.09674072
0.1864929,0.09039307
0.2064819,0.07318115
0.2265015,0.06533813
0.2464905,0.04647827
0.2664795,0.03573608
0.286499,0.02813721
0.306488,0.01760864
0.3264771,0.008905523
0.3464966,0.008056641
0.3664856,0.01571655
0.3864746,0.009185791
0.4064941,0.00431099
0.4264832,0.009027774
0.4465027,0.03071691
0.4664917,0.02503802
0.4864807,0.02707331
0.5065002,0.02831594
0.5264893,0.02938616
0.5464783,0.02598841
0.5664978,0.01827367
0.5864868,0.01418656
0.6064758,0.00714835
0.6264954,0.008699095
0.6464844,0.01114525
0.6665039,0.02208201
0.6864929,0.02423711
0.7064819,0.03195874
0.7265015,0.04130506
0.7464905,0.03287522
0.7664795,0.01702502
0.786499,0.01533011
0.806488,0.01669216
0.8264771,0.01699357
0.8464966,-0.001834115
0.8664856,-0.0004533455
0.8864746,0.0007817144
0.9064941,-0.0004770924
0.9264832,-0.004105662
0.9465027,-0.0001738581
0.9664917,-0.002917144
0.9864807,-0.005298509
1.0065,0.0144043
1.026489,0.0279541
1.046478,0.04119873
1.066498,0.05688477
1.086487,0.05822754
1.106476,0.05981445
1.126495,0.07009888
1.146484,0.0664978
1.166504,0.06866455
1.186493,0.08248901
1.206482,0.07577515
1.226501,0.07427979
1.24649,0.08010864
1.266479,0.08773804
1.286499,0.08526611
1.306488,0.08126831
1.326477,0.07751465
1.346497,0.06384277
1.366486,0.06845093
1.386475,0.06677246
1.406494,0.05657959
1.426483,0.05715942
1.446503,0.05001831
1.466492,0.04919434
1.486481,0.04330444
1.5065,0.02758789
1.526489,0.01895142
1.546478,0.01495361
1.566498,0.006713867
1.586487,-0.002881025
1.606476,0.006835938
1.626495,-0.002391496
1.646484,0.01449585
1.666504,0.03240967
1.686493,0.03601074
1.706482,0.05804443
1.726501,0.05645752
1.74649,0.05767822
1.766479,0.06130981
1.786499,0.05715942
1.806488,0.05014038
1.826477,0.05407715
1.846497,0.05453491
1.866486,0.0612793
1.886475,0.07159424
1.906494,0.07772827
1.926483,0.08911133
1.946503,0.09851074
1.966492,0.09509277
1.986481,0.08856201
2.0065,0.08837891
2.026489,0.07662964
2.046478,0.07937622
2.066498,0.06704712
2.086487,0.07077026
2.106476,0.0736084
2.126495,0.06668091
2.146484,0.06680298
2.166504,0.0647583
2.186493,0.07260132
2.206482,0.07067871
2.226501,0.06192017
2.24649,0.05056763
2.266479,0.04684448
2.286499,0.04980469
2.306488,0.05426025
2.326477,0.06369019
2.346497,0.07757568
2.366486,0.09591675
2.386475,0.08050537
2.406494,0.07821655
2.426483,0.07809448
2.446503,0.07910156
2.466492,0.07821655
2.486481,0.07711792
2.5065,0.07644653
2.526489,0.07907104
2.546478,0.09072876
2.566498,0.1002808
2.586487,0.1025085
2.606476,0.10495
2.626495,0.1019897
2.646484,0.09686279
2.666504,0.0687561
2.686493,0.06689453
2.706482,0.06585693
2.726501,0.06124878
2.74649,0.06359863
2.766479,0.06997681
2.786499,0.0710144
2.806488,0.07199097
2.826477,0.06729126
2.846497,0.07382202
2.866486,0.07754517
2.886475,0.0741272
2.906494,0.07318115
2.926483,0.06640625
2.946503,0.05450439
2.966492,0.07568359
2.986481,0.0710144
3.0065,0.09136963
3.026489,0.09616089
3.046478,0.09902954
3.066498,0.09906006
3.086487,0.1014709
3.106476,0.1029358
3.126495,0.1046143
3.146484,0.1053162
3.166504,0.09851074
3.186493,0.1035156
3.206482,0.1105347
3.226501,0.1087341
3.24649,0.1166992
3.266479,0.1102905
3.286499,0.1066284
3.306488,0.09344482
3.326477,0.08227539
3.346497,0.06085205
3.366486,0.04019165
3.386475,0.03695679
3.406494,0.03234863
3.426483,0.0489502
3.446503,0.05001831
3.466492,0.05065918
3.486481,0.05014038
3.5065,0.04382324
3.526489,0.0375061
3.546478,0.03179932
3.566498,0.0340271
3.586487,0.02844238
3.606476,0.02493286
3.626495,0.0218811
3.646484,0.01248169
3.666504,0.03167725
3.686493,0.03582764
3.706482,0.04562378
3.726501,0.04592896
3.74649,0.03973389
3.766479,0.04071045
3.786499,0.04165649
3.806488,0.04156494
3.826477,0.02301025
3.846497,0.02282715
3.866486,0.01473999
3.886475,0.01681519
3.906494,0.0194397
3.926483,0.0222168
3.946503,0.03137207
3.966492,0.02972412
3.986481,0.02972412
4.0065,-0.004251163
4.026489,-0.00284953
4.046478,0.007608957
4.066498,0.01117604
4.086487,0.01612569
4.106476,0.01909035
4.126495,0.0007672125
4.146484,0.006072998
4.166504,0.01251221
4.186493,0.01864624
4.206482,0.02825928
4.226501,0.03497314
4.24649,0.02587891
4.266479,0.02102661
4.286499,0.01705933
4.306488,0.01473999
4.326477,0.01165771
4.346497,-0.005037395
4.366486,0.01882935
4.386475,0.01870728
4.406494,0.02926636
4.426483,0.03015137
4.446503,0.02645874
4.466492,0.02581787
4.486481,0.0128479
4.5065,0.01791382
4.526489,0.0305481
4.546478,0.02648926
4.566498,0.02941895
4.586487,0.03735352
4.606476,0.04275513
4.626495,0.04501343
4.646484,0.04379272
4.666504,0.04351807
4.686493,0.04089355
4.706482,0.02572632
4.726501,0.009277344
4.74649,0.004826962
4.766479,0.002585468
4.786499,0.00478663
4.806488,-0.003910435
4.826477,0.02001953
4.846497,0.02557373
4.866486,0.02380371
4.886475,0.027771
4.906494,0.0300293
4.926483,0.03649902
4.946503,0.03128052
4.966492,0.02453613
4.986481,0.03604126
5.0065,0.03591919
5.026489,0.03890991
5.046478,0.04678345
5.066498,0.05914307
5.086487,0.07070923
5.106476,0.08096313
5.126495,0.08526611
5.146484,0.08157349
5.166504,0.08355713
5.186493,0.09439087
5.206482,0.09152222
5.226501,0.09625244
5.24649,0.1038513
5.266479,0.1148987
5.286499,0.1265259
5.306488,0.1282959
5.326477,0.1299438
5.346497,0.1262512
5.366486,0.1092529
5.386475,0.1016235
5.406494,0.09649658
5.426483,0.09231567
5.446503,0.0802002
5.466492,0.07785034
5.486481,0.08108521
5.5065,0.07333374
5.526489,0.07574463
5.546478,0.07434082
5.566498,0.07376099
5.586487,0.05578613
5.606476,0.04629517
5.626495,0.02685547
5.646484,0.02670288
5.666473,0.01449585
5.686493,0.003982852
5.706482,0.008789063
5.726501,-0.004405556
5.74649,0.01409912
5.766479,0.01782227
5.786499,0.01254272
