time,angle
ÿþ0.002288818,0.4190058
0.02230835,0.3588602
0.04229736,0.3534873
0.06228638,0.3198827
0.08230591,0.294659
0.1022949,0.2629242
0.1222839,0.2544374
0.1423035,0.2349323
0.1622925,0.2361368
0.182312,0.2322171
0.202301,0.2406725
0.22229,0.2526981
0.2423096,0.2673363
0.2622986,0.2863874
0.2822876,0.3079501
0.3023071,0.3359114
0.3222961,0.3327714
0.3422852,0.3209451
0.3623047,0.3083442
0.3822937,0.3041993
0.4023132,0.2993035
0.4223022,0.3220187
0.4422913,0.331897
0.4623108,0.3426976
0.4822998,0.3527955
0.5022888,0.3622519
0.5223083,0.3595393
0.5422974,0.3742449
0.5622864,0.3839269
0.5823059,0.375035
0.6022949,0.3974409
0.6222839,0.3815047
0.6423035,0.3783033
0.6622925,0.3940076
0.682312,0.37587
0.702301,0.365627
0.72229,0.3371983
0.7423096,0.3406359
0.7622986,0.3079947
0.7822876,0.2930608
0.8023071,0.286793
0.8222961,0.2636036
0.8422852,0.2370062
0.8623047,0.2150387
0.8822937,0.1926777
0.9023132,0.189509
0.9223022,0.1893288
0.9422913,0.192195
0.9623108,0.2054585
0.9822998,0.2134731
1.002289,0.2210759
1.022308,0.2388078
1.042297,0.2288831
1.062286,0.2200969
1.082306,0.2061608
1.102295,0.1991741
1.122284,0.1927075
1.142303,0.1795217
1.162292,0.1809366
1.182312,0.175436
1.202301,0.1899685
1.22229,0.1780847
1.24231,0.1888233
1.262299,0.1823078
1.282288,0.1759411
1.302307,0.1490487
1.322296,0.1392224
1.342285,0.1421931
1.362305,0.1453464
1.382294,0.1336243
1.402313,0.1257255
1.422302,0.1105302
1.442291,0.1091359
1.462311,0.1057432
1.4823,0.09221673
1.502289,0.07708637
1.522308,0.07733495
1.542297,0.06339434
1.562286,0.06110358
1.582306,0.0472174
1.602295,0.04104402
1.622284,0.03498455
1.642303,0.03521447
1.662292,0.03605992
1.682312,0.05328364
1.702301,0.05328367
1.72229,0.05738823
1.74231,0.03908956
1.762299,0.02054249
1.782288,0.002276282
1.802307,0.003811483
1.822296,-0.0004746556
1.842285,0.002442967
1.862305,0.01441834
1.882294,0.02086239
1.902313,0.03116515
1.922302,0.03361545
1.942291,0.04211426
1.962311,0.05635484
1.9823,0.05625902
2.002289,0.05495926
2.022308,0.05617423
2.042297,0.06921814
2.062286,0.07441688
2.082306,0.07395312
2.102295,0.0746453
2.122284,0.06245571
2.142303,0.05759217
2.162292,0.04227896
2.182312,0.03798701
