time,angle
ÿþ0.01898289,0.02310181
0.03898239,0.03125
0.05898285,0.04309082
0.07898235,0.04501343
0.09898281,0.05740356
0.1189823,0.05621338
0.1389828,0.06634521
0.1589823,0.06542969
0.1789827,0.06466675
0.1989822,0.07009888
0.2189827,0.07348633
0.2389822,0.06811523
0.2589827,0.06100464
0.2789831,0.05938721
0.2989826,0.06045532
0.3189831,0.08135986
0.3389826,0.1075134
0.358983,0.1112061
0.3789825,0.1063232
0.398983,0.09124756
0.4189825,0.0737915
0.438983,0.06292725
0.4589825,0.05596924
0.4789829,0.05038452
0.4989824,0.03668213
0.5189829,0.0302124
0.5389824,0.03399658
0.5589828,0.03140259
0.5789824,0.03009033
0.5989828,0.02542114
0.6189823,0.01351929
0.6389828,0.005510994
0.6589823,0.001858246
0.6789827,0.005580558
0.6989822,0.02459717
0.7189827,0.02124023
0.7389822,0.02514648
0.7589827,-0.002980889
0.7789831,0.0319536
0.7989826,0.00768769
0.8189831,0.01987154
0.8389826,0.03958073
0.858983,0.02474995
0.8789825,0.05911332
0.898983,0.06748896
0.9189825,0.1191226
0.938983,0.1910389
0.9589825,0.2926911
0.9789829,0.2696968
0.9989824,0.4138398
1.018983,0.4123985
1.038982,0.4123158
1.058983,0.3243335
1.078982,0.2850579
1.098983,0.2772851
1.118982,0.304351
1.138983,0.2932048
1.158982,0.2940571
1.178983,0.3041077
1.198982,0.3165983
1.218983,0.353686
1.238982,0.3818333
1.258983,0.4445772
1.278983,0.4718912
1.298983,0.4998415
1.318983,0.5309372
1.338983,0.534924
1.358983,0.555108
1.378983,0.555108
1.398983,0.4996937
1.418983,0.4874295
1.438983,0.4746518
1.458982,0.4224761
1.478983,0.4270847
1.498982,0.4266176
1.518983,0.4800993
1.538982,0.4801828
1.558983,0.5162555
1.578982,0.5111938
1.598983,0.4988186
1.618982,0.5096999
1.638983,0.5025334
1.658982,0.4967492
1.678983,0.4900605
1.698982,0.4934458
1.718983,0.4995612
1.738982,0.5046917
1.758983,0.4943696
1.778982,0.5130204
1.798983,0.5280238
1.818983,0.5598422
1.838983,0.5659682
1.858983,0.5827694
1.878983,0.6144511
1.898983,0.6126868
1.918983,0.6257203
1.938983,0.6235785
1.958982,0.6221961
1.978983,0.609952
1.998982,0.6034268
2.018983,0.5965675
2.038982,0.5866954
2.058983,0.583088
2.078982,0.5746511
2.098983,0.5638905
2.118982,0.5688319
2.138983,0.5532031
2.158982,0.5395324
2.178983,0.5327583
2.198982,0.5020527
2.218983,0.4802991
2.238982,0.4901589
2.258983,0.4744507
2.278982,0.4767208
2.298983,0.4637283
2.318983,0.4660255
2.338983,0.4993718
2.358983,0.4980757
2.378983,0.5197344
2.398983,0.5421034
2.418983,0.5777739
2.438983,0.6060565
2.458982,0.5608308
2.478983,0.5280446
2.498982,0.4846146
2.518983,0.4729502
2.538982,0.4455074
2.558983,0.4814068
2.578982,0.4763681
2.598983,0.4948298
2.618982,0.5097683
2.638983,0.5468894
2.658982,0.5579663
2.678983,0.6092303
2.698982,0.6361365
2.718983,0.6181362
2.738982,0.6136993
2.758983,0.6136993
2.778982,0.5849827
2.798983,0.5830527
2.818983,0.5539837
2.838983,0.5209215
2.858983,0.4861525
2.878983,0.4446035
2.898983,0.4038522
2.918983,0.3666234
2.938983,0.3487311
2.958983,0.3342524
2.978982,0.3106666
2.998982,0.3119686
3.018983,0.3035531
3.038983,0.3069118
