time,angle
ÿþ0.005584717,0.02347375
0.02557373,0.02212524
0.04559326,0.05337524
0.06558228,0.0574646
0.08557129,0.03765869
0.1055908,0.04614258
0.1255798,0.07876587
0.1455994,0.09341431
0.1655884,0.07949829
0.1855774,0.08355713
0.2055969,0.07489014
0.2255859,0.05950928
0.245575,0.04101563
0.2655945,0.03897095
0.2855835,0.04602051
0.3055725,0.04415894
0.325592,0.03323364
0.3455811,0.02474976
0.3656006,0.02868652
0.3855896,0.0335083
0.4055786,0.06851196
0.4255981,0.06454468
0.4455872,0.08572388
0.4655762,0.0894165
0.4855957,0.1014099
0.5055847,0.1148071
0.5255737,0.1347656
0.5455933,0.1585083
0.5655823,0.1836853
0.5855713,0.1859741
0.6055908,0.2085266
0.6255798,0.2345276
0.6455994,0.2666016
0.6655884,0.2788086
0.6855774,0.3035583
0.7055969,0.327179
0.7255859,0.34198
0.745575,0.3650818
0.7655945,0.3818054
0.7855835,0.3887634
0.8055725,0.4098511
0.825592,0.4101257
0.8455811,0.4319763
0.8656006,0.4536133
0.8855896,0.486908
0.9055786,0.5128174
0.9255981,0.5182495
0.9455872,0.5182495
0.9655762,0.5333557
0.9855957,0.540741
1.005585,0.5490112
1.025574,0.5557556
1.045593,0.5664673
1.065582,0.5711365
1.085571,0.5731812
1.105591,0.5773315
1.12558,0.5656738
1.145599,0.5617676
1.165588,0.5560608
1.185577,0.5386658
1.205597,0.5269165
1.225586,0.5068359
1.245575,0.5055237
1.265594,0.4769897
1.285583,0.4853516
1.305573,0.4732056
1.325592,0.4736633
1.345581,0.4627686
1.365601,0.4586487
1.38559,0.4497986
1.405579,0.4432373
1.425598,0.4358215
1.445587,0.4253235
1.465576,0.4191895
1.485596,0.4097595
1.505585,0.4076538
1.525574,0.3952942
1.545593,0.3782654
1.565582,0.3690186
1.585571,0.358429
1.605591,0.3406677
1.62558,0.3521729
1.645599,0.3850708
1.665588,0.398468
1.685577,0.3904724
1.705597,0.3974915
1.725586,0.396698
1.745575,0.403595
1.765594,0.4173584
1.785583,0.4155579
1.805573,0.4247742
1.825592,0.4273987
1.845581,0.4337158
1.865601,0.4347839
1.88559,0.4416199
1.905579,0.4563599
1.925598,0.4617004
1.945587,0.4667664
1.965576,0.473114
1.985596,0.4865417
2.005585,0.5112915
2.025574,0.5480652
2.045593,0.5480652
2.065582,0.5582275
2.085571,0.5729065
2.105591,0.5832825
2.12558,0.5937195
2.145599,0.5995483
2.165588,0.6030273
2.185577,0.6141357
2.205597,0.6230469
2.225586,0.6255798
2.245575,0.6236267
2.265594,0.6242676
2.285583,0.6316528
2.305573,0.6398926
2.325592,0.6448059
2.345581,0.6654968
2.365601,0.6799316
2.38559,0.6849365
2.405579,0.6958008
2.425598,0.7313232
2.445587,0.7721558
2.465576,0.7853088
2.485596,0.7817078
2.505585,0.7755127
2.525574,0.7718201
2.545593,0.7636719
2.565582,0.7674561
2.585571,0.7622375
2.605591,0.7622681
2.62558,0.7537537
2.645599,0.7438965
2.665588,0.7540283
2.685577,0.7567749
2.705597,0.7554321
2.725586,0.7667542
2.745575,0.7628174
2.765594,0.7757568
2.785583,0.7818909
2.805573,0.8135376
2.825592,0.8034668
2.845581,0.8128967
2.865601,0.7976379
2.88559,0.7772827
2.905579,0.7612915
2.925598,0.7077332
2.945587,0.7072754
2.965576,0.6800537
2.985596,0.703186
3.005585,0.7102661
3.025574,0.7178955
3.045593,0.7315979
3.065582,0.7259827
3.085571,0.7230225
3.105591,0.6755981
3.12558,0.6468811
3.145599,0.6341553
3.165588,0.6275635
3.185577,0.6244812
3.205597,0.6328125
3.225586,0.6473083
3.245575,0.6799622
3.265594,0.7031555
3.285583,0.7201538
3.305573,0.7399292
3.325592,0.7406921
3.345581,0.7345886
3.365601,0.7032776
3.38559,0.6976624
3.405579,0.6696777
3.425598,0.6560059
3.445587,0.6018066
3.465576,0.5861206
3.485596,0.5712585
3.505585,0.5500488
3.525574,0.5827026
3.545593,0.5848694
3.565582,0.579834
3.585571,0.5936584
3.605591,0.5621643
3.62558,0.5511169
3.645599,0.5487671
3.665588,0.5438232
3.685577,0.5105896
3.705597,0.4692688
3.725586,0.4072876
3.745575,0.3570557
3.765594,0.3090515
3.785583,0.2963562
3.805573,0.1925659
3.825592,0.1587524
3.845581,0.1177063
3.865601,0.08999634
3.88559,0.08337402
3.905579,0.09597778
3.925598,0.07254028
3.945587,0.03375244
3.965576,0.006603528
3.985596,0.03725684
4.005585,0.03954378
4.025574,0.02746184
4.045593,0.02975605
4.065582,0.03283135
4.085571,0.01534939
4.105591,0.0233046
4.12558,0.07953448
4.145599,0.1099345
4.165588,0.1427511
4.185577,0.1656605
4.205597,0.2019322
4.225586,0.2209506
4.245575,0.1968054
4.265594,0.2213878
4.285583,0.2113442
4.305573,0.2255187
4.325592,0.2472222
4.345581,0.2427514
4.365601,0.1940366
4.38559,0.2084594
4.405579,0.2299645
4.425598,0.2529039
4.445587,0.2894478
4.465576,0.2894476
4.485596,0.311736
4.505585,0.3178022
4.525574,0.3344496
4.545593,0.3420378
4.565582,0.3878651
4.585571,0.3902853
4.605591,0.4168952
4.62558,0.4375999
4.645599,0.4676354
4.665588,0.4800715
4.685577,0.4642732
4.705597,0.4264117
4.725586,0.4019916
4.745575,0.3821375
4.765594,0.3598241
4.785583,0.3419127
4.805573,0.3224861
4.825592,0.2996882
4.845581,0.2800499
4.865601,0.2606639
4.88559,0.2582615
4.905579,0.2344133
4.925598,0.2295655
4.945587,0.2112241
4.965576,0.202442
4.985596,0.189544
5.005585,0.2195632
5.025574,0.2210672
5.045593,0.2368712
5.065582,0.2521465
5.085571,0.262818
5.105591,0.2873591
5.12558,0.3021765
5.145599,0.3400601
5.165588,0.3815254
5.185577,0.3870816
5.205597,0.4060442
5.225586,0.4329876
5.245575,0.4386474
5.265594,0.4495728
5.285583,0.456882
5.305573,0.4543336
5.325592,0.451153
5.345581,0.4497285
5.365601,0.4458933
5.38559,0.4450523
5.405579,0.4557088
5.425598,0.451155
5.445587,0.4745753
5.465576,0.4953435
5.485596,0.5023768
5.505585,0.4879596
5.525574,0.4862756
5.545593,0.5038844
5.565582,0.5153388
5.585571,0.5403733
5.605591,0.5531251
5.62558,0.5605934
5.645599,0.5692333
5.665588,0.5658593
5.685577,0.573871
5.705597,0.5761147
5.725586,0.5793515
5.745575,0.5757288
5.765594,0.5728682
5.785583,0.5597192
5.805573,0.5552743
5.825592,0.5401508
5.845581,0.5196038
5.865601,0.5082278
5.88559,0.5070758
5.905579,0.491516
5.925598,0.4942497
5.945587,0.4979719
5.965576,0.5014656
5.985596,0.5037996
6.005585,0.5077882
6.025574,0.4988675
6.045593,0.4845716
6.065582,0.4877368
6.085571,0.483526
6.105591,0.4973409
6.12558,0.5035705
6.145599,0.4992095
6.165588,0.4913111
6.185577,0.4554614
6.205597,0.4279571
6.225586,0.3934028
6.245575,0.3205269
6.265594,0.2215445
6.285583,0.2091713
6.305573,0.1208722
6.325592,0.0965874
6.345581,0.09711577
6.365601,0.05957603
6.38559,0.04872901
6.405579,0.03417717
6.425598,0.0371943
6.445587,0.03952609
6.465576,0.04536452
6.485596,0.04673361
6.505585,0.05266418
6.525574,0.0524443
6.545593,0.05112822
6.565582,0.06628554
6.585571,0.05676416
6.605591,0.04947716
6.62558,0.0303299
6.645599,0.01990464
6.665588,0.006256205
6.685577,0.007543482
6.705597,-0.003835491
6.725586,0.009185791
6.745575,0.01599121
