time,angle
ÿþ0.009399414,0.2637329
0.02941895,0.3000488
0.04943848,0.335144
0.06939697,0.3580627
0.0894165,0.3757935
0.109436,0.3785095
0.1293945,0.3689575
0.1494141,0.3685303
0.1694336,0.3811035
0.1893921,0.3952026
0.2094116,0.4047852
0.2294312,0.4136353
0.2493896,0.4161682
0.2694092,0.4190063
0.2894287,0.4138794
0.3093872,0.4155579
0.3294067,0.4102478
0.3494263,0.4154358
0.3694458,0.4304199
0.3894043,0.4541626
0.4094238,0.4779663
0.4294434,0.4907837
0.4494019,0.4978333
0.4694214,0.5071106
0.4894409,0.4978943
0.5093994,0.4919434
0.5294189,0.4945374
0.5494385,0.474762
0.569397,0.4610291
0.5894165,0.4252014
0.609436,0.3563232
0.6293945,0.3495789
0.6494141,0.303833
0.6694336,0.2782288
0.6893921,0.2633667
0.7094116,0.26297
0.7294312,0.2889404
0.7493896,0.303009
0.7694092,0.3870544
0.7894287,0.401062
0.8093872,0.4587097
0.8294067,0.4755554
0.8494263,0.4773865
0.8694458,0.4213562
0.8894043,0.4078369
0.9094238,0.362793
0.9294434,0.3609619
0.9494019,0.3413086
0.9694214,0.3121033
0.9894409,0.2206421
1.009399,0.1955872
1.029419,0.1976013
1.049438,0.1518555
1.069397,0.09890747
1.089417,0.09002686
1.109436,0.1026611
1.129395,0.1277466
1.149414,0.1414795
1.169434,0.129303
1.189392,0.1429443
1.209412,0.183075
1.229431,0.1967773
1.24939,0.2321167
1.269409,0.2689819
1.289429,0.4031677
1.309387,0.4323425
1.329407,0.5438843
1.349426,0.5602417
1.369446,0.705658
1.389404,0.740387
1.409424,0.7745361
1.429443,0.7793274
1.449402,0.7735901
1.469421,0.7468872
1.489441,0.6938477
1.509399,0.6593628
1.529419,0.6296997
1.549438,0.6388855
1.569397,0.6385803
1.589417,0.6306763
1.609436,0.6267395
1.629395,0.6251526
1.649414,0.619751
1.669434,0.610321
1.689392,0.616394
1.709412,0.6335754
1.729431,0.6818542
1.74939,0.6803589
1.769409,0.7099609
