time,angle
ÿþtime	angle
0.01989746,-2.087219
0.03988647,-2.102081
0.05990601,-2.137024
0.07989502,-2.135559
0.09991455,-2.135406
0.1199036,-2.139893
0.1398926,-2.141968
0.1599121,-2.159912
0.1799011,-2.16864
0.1998901,-2.168518
0.2199097,-2.172455
0.2398987,-2.169281
0.2598877,-2.189911
0.2799072,-2.268982
0.2998962,-2.349091
0.3199158,-2.495117
0.3399048,-2.582794
0.3598938,-2.72583
0.3799133,-2.729095
0.3999023,-2.684235
0.4198914,-2.675873
0.4399109,-2.660431
0.4598999,-2.656677
0.4798889,-2.657196
0.4999084,-2.662445
0.5198975,-2.656952
0.5398865,-2.651398
0.559906,-2.596649
0.579895,-2.52536
0.5999146,-2.4263
0.6199036,-2.405457
0.6398926,-2.345123
0.6599121,-2.274261
0.6799011,-2.200195
0.6998901,-2.14563
0.7199097,-2.120605
0.7398987,-2.078796
0.7598877,-2.059753
0.7799072,-2.041168
0.7998962,-2.042297
0.8199158,-2.03299
0.8399048,-2.016693
0.8598938,-2.020355
0.8799133,-2.007416
0.8999023,-1.97464
0.9198914,-1.981659
0.9399109,-1.975098
0.9598999,-1.968201
0.9798889,-1.974213
0.9999084,-1.970764
1.019897,-1.967926
1.039886,-1.935394
1.059906,-1.89447
1.079895,-1.816772
1.099915,-1.796387
1.119904,-1.769348
1.139893,-1.72467
1.159912,-1.677917
1.179901,-1.619446
1.19989,-1.560974
1.21991,-1.516174
1.239899,-1.50766
1.259888,-1.468048
1.279907,-1.406128
1.299896,-1.388367
1.319916,-1.372009
1.339905,-1.358612
1.359894,-1.353638
1.379913,-1.342529
1.399902,-1.335327
1.419891,-1.329559
1.439911,-1.322723
1.4599,-1.308655
1.479889,-1.306793
1.499908,-1.302429
1.519897,-1.292847
1.539886,-1.289612
1.559906,-1.290924
1.579895,-1.283966
1.599915,-1.277191
1.619904,-1.278625
1.639893,-1.272491
1.659912,-1.260193
1.679901,-1.244049
1.69989,-1.223846
1.71991,-1.21048
1.739899,-1.20166
1.759888,-1.221985
1.779907,-1.232971
1.799896,-1.247192
1.819916,-1.242828
1.839905,-1.247864
1.859894,-1.246033
1.879913,-1.246155
1.899902,-1.235352
1.919891,-1.242615
1.939911,-1.247009
1.9599,-1.250702
1.979889,-1.253754
1.999908,-1.278687
2.019897,-1.28418
2.039886,-1.281281
2.059906,-1.297455
2.079895,-1.318115
2.099915,-1.346283
2.119904,-1.358948
2.139893,-1.393616
2.159912,-1.406952
2.179901,-1.42569
2.19989,-1.422333
2.21991,-1.409515
2.239899,-1.422577
2.259888,-1.409821
2.279907,-1.399963
2.299896,-1.366394
2.319916,-1.367126
2.339905,-1.361237
2.359894,-1.336975
2.379913,-1.332886
2.399902,-1.341095
2.419891,-1.330841
2.439911,-1.333191
2.4599,-1.327881
2.479889,-1.326599
2.499908,-1.316895
2.519897,-1.303162
2.539886,-1.30835
2.559906,-1.292084
2.579895,-1.279572
2.599915,-1.278503
2.619904,-1.285156
2.639893,-1.274323
2.659912,-1.282196
2.679901,-1.260101
2.69989,-1.23996
2.71991,-1.212463
2.739899,-1.174194
2.759888,-1.149902
2.779907,-1.176758
2.799896,-1.189178
2.819916,-1.197357
2.839905,-1.198486
2.859894,-1.195099
2.879913,-1.19101
2.899902,-1.178436
2.919891,-1.178284
2.939911,-1.174103
2.9599,-1.174866
2.979889,-1.186401
2.999908,-1.184937
3.019897,-1.177704
3.039886,-1.178192
3.059906,-1.185883
3.079895,-1.176636
3.099915,-1.166534
3.119904,-1.158295
3.139893,-1.156586
3.159912,-1.159546
3.179901,-1.159058
3.19989,-1.178711
3.21991,-1.180573
3.239899,-1.20343
3.259888,-1.187317
3.279907,-1.18222
3.299896,-1.166565
3.319916,-1.110748
3.339905,-1.105316
3.359894,-1.058685
3.379913,-1.061737
3.399902,-1.045105
3.419891,-1.052063
3.439911,-1.053589
3.4599,-1.062653
3.479889,-1.079529
3.499908,-1.093292
3.519897,-1.112976
3.539886,-1.142822
3.559906,-1.172058
3.579895,-1.183197
3.599915,-1.216888
3.619904,-1.259399
3.639893,-1.258972
3.659912,-1.272095
3.679901,-1.323059
3.69989,-1.336609
3.71991,-1.341187
3.739899,-1.34494
3.759888,-1.335663
3.779907,-1.317322
3.799896,-1.305054
3.819916,-1.280548
3.839905,-1.275604
3.859894,-1.274994
3.879913,-1.265076
3.899902,-1.259491
3.919891,-1.245697
3.939911,-1.244843
3.9599,-1.224792
3.979889,-1.181183
3.999908,-1.192871
4.019897,-1.193939
4.039886,-1.193878
4.059906,-1.197479
4.079895,-1.216614
4.099915,-1.227875
4.119904,-1.227722
4.139893,-1.23172
4.159912,-1.225189
4.179901,-1.225647
4.19989,-1.225891
4.21991,-1.223297
4.239899,-1.223389
4.259888,-1.216614
4.279907,-1.201813
4.299896,-1.191803
4.319916,-1.200287
4.339905,-1.20105
4.359894,-1.193787
4.379913,-1.19104
4.399902,-1.18634
4.419891,-1.173706
4.439911,-1.173553
4.4599,-1.173431
4.479889,-1.175293
4.499908,-1.22171
4.519897,-1.246307
4.539886,-1.282471
4.559906,-1.344482
4.579895,-1.3815
4.599915,-1.39505
4.619904,-1.404388
4.639893,-1.402405
4.659912,-1.408508
4.679901,-1.390625
4.69989,-1.38382
4.71991,-1.364563
4.739899,-1.36673
4.759888,-1.360962
4.779907,-1.348907
4.799896,-1.320801
4.819916,-1.314453
4.839905,-1.311981
4.859894,-1.289673
4.879913,-1.272705
4.899902,-1.254547
4.919891,-1.231201
4.939911,-1.216614
4.9599,-1.216248
4.979889,-1.222351
4.999908,-1.22995
5.019897,-1.252869
5.039886,-1.263336
5.059906,-1.278412
5.079895,-1.298828
5.099915,-1.29425
5.119904,-1.297302
5.139893,-1.288086
5.159912,-1.282135
5.179901,-1.278168
5.19989,-1.285583
5.21991,-1.311523
5.239899,-1.303894
5.259888,-1.336823
5.279907,-1.347137
5.299896,-1.358032
5.319916,-1.376648
5.339905,-1.37262
5.359894,-1.380524
5.379913,-1.380951
5.399902,-1.389038
5.419891,-1.394714
5.439911,-1.403748
5.4599,-1.415161
5.479889,-1.425354
5.499908,-1.435364
5.519897,-1.428131
5.539886,-1.421631
5.559906,-1.399414
5.579895,-1.395844
5.599915,-1.396454
5.619904,-1.386902
5.639893,-1.375427
5.659912,-1.363556
5.679901,-1.339996
5.69989,-1.339996
5.71991,-1.342438
5.739899,-1.34082
5.759888,-1.348236
5.779907,-1.348572
5.799896,-1.339264
5.819916,-1.343842
5.839905,-1.343201
5.859894,-1.343201
5.879913,-1.342712
5.899902,-1.323395
5.919891,-1.316956
5.939911,-1.314514
5.9599,-1.309143
5.979889,-1.298615
5.999908,-1.296539
6.019897,-1.288727
6.039886,-1.292572
6.059906,-1.28064
6.079895,-1.266998
6.099915,-1.266693
6.119904,-1.255219
6.139893,-1.25943
6.159912,-1.255096
6.179901,-1.241302
6.19989,-1.231995
6.21991,-1.24115
6.239899,-1.244476
6.259888,-1.233826
6.279907,-1.23114
6.299896,-1.228821
6.319916,-1.21048
6.339905,-1.191681
6.359894,-1.171448
6.379913,-1.130096
6.399902,-1.130096
6.419891,-1.118042
6.439911,-1.115601
6.4599,-1.121246
6.479889,-1.121979
6.499908,-1.12677
6.519897,-1.1185
6.539886,-1.123291
6.559906,-1.113678
6.579895,-1.107117
6.599915,-1.116516
6.619904,-1.122101
6.639893,-1.120087
6.659912,-1.118225
6.679901,-1.116394
6.69989,-1.103302
6.71991,-1.087006
6.739899,-1.079071
6.759888,-1.059052
6.779907,-1.051147
6.799896,-1.050903
6.819916,-1.039795
6.839905,-1.02243
6.859894,-1.00882
6.879913,-1.015839
6.899902,-1.01944
6.919891,-1.004486
6.939911,-0.9963379
6.9599,-0.9701538
6.979889,-0.9571533
6.999908,-0.941925
7.019897,-0.93573
7.039886,-0.9310913
7.059906,-0.9231262
7.079895,-0.9180298
7.099915,-0.9020996
7.119904,-0.8963013
7.139893,-0.8831787
7.159912,-0.8821411
7.179901,-0.8663635
7.19989,-0.8587341
7.21991,-0.8591919
7.239899,-0.8665466
7.259888,-0.8639832
7.279907,-0.865387
7.299896,-0.8652344
7.319916,-0.8686829
7.339905,-0.869812
7.359894,-0.8701782
7.379913,-0.8640747
7.399902,-0.8684692
7.419891,-0.8674927
7.439911,-0.8750305
7.4599,-0.8824768
7.479889,-0.8814087
7.499908,-0.8730774
7.519897,-0.8672791
7.539886,-0.8736572
7.559906,-0.8733826
7.579895,-0.8661499
7.599915,-0.8476257
7.619904,-0.8530884
7.639893,-0.8516541
7.659912,-0.8441772
7.679901,-0.8492432
7.69989,-0.8400879
7.71991,-0.8321228
7.739899,-0.8304138
7.759888,-0.8179626
7.779907,-0.8214111
7.799896,-0.8199158
7.819916,-0.8118286
7.839905,-0.8060913
7.859894,-0.8119812
7.879913,-0.8189087
7.899902,-0.8322449
7.919891,-0.8572693
7.939911,-0.851593
7.9599,-0.851532
7.979889,-0.859314
7.999908,-0.8571167
8.019897,-0.8639832
8.039886,-0.8656006
8.059906,-0.8708496
8.079895,-0.8700256
8.099915,-0.8670044
8.119904,-0.8475037
8.139893,-0.8392944
8.159912,-0.7973633
8.179901,-0.7845459
8.19989,-0.7695313
8.21991,-0.7392883
8.239899,-0.7327881
8.259888,-0.7410278
8.279907,-0.7384949
8.299896,-0.7712708
8.319916,-0.7670288
8.339905,-0.7758484
8.359894,-0.7803345
8.379913,-0.8020325
8.399902,-0.7799683
8.419891,-0.7799683
8.439911,-0.7922974
8.4599,-0.8088684
8.479889,-0.8023987
8.499908,-0.8135681
8.519897,-0.817749
8.539886,-0.8319397
8.559906,-0.8338623
8.579895,-0.8337708
8.599915,-0.8412476
8.619904,-0.8366394
8.639893,-0.8308716
8.659912,-0.8320007
8.679901,-0.8382263
8.69989,-0.8239136
8.71991,-0.8200684
8.739899,-0.8414917
8.759888,-0.8671265
8.779907,-0.8823853
8.799896,-0.8950806
8.819916,-0.9083557
8.839905,-0.9575806
8.859894,-1.033539
8.879913,-1.062439
8.899902,-1.095001
8.919891,-1.098724
8.939911,-1.115814
8.9599,-1.13266
8.979889,-1.142487
8.999908,-1.153381
9.019897,-1.170349
9.039886,-1.17099
9.059906,-1.208984
9.079895,-1.228882
9.099915,-1.249664
9.119904,-1.263672
9.139893,-1.264648
9.159912,-1.291351
9.179901,-1.314331
9.19989,-1.330383
9.21991,-1.360016
9.239899,-1.362488
9.259888,-1.382813
9.279907,-1.404449
9.299896,-1.414978
9.319916,-1.428253
9.339905,-1.435944
9.359894,-1.441284
9.379913,-1.451508
9.399902,-1.445313
9.419891,-1.435974
9.439911,-1.437164
9.4599,-1.443329
9.479889,-1.451447
9.499908,-1.454773
9.519897,-1.444611
9.539886,-1.43396
9.559906,-1.428894
9.579895,-1.415497
9.599915,-1.405426
9.619904,-1.391937
9.639893,-1.383148
9.659912,-1.379944
9.679901,-1.38266
9.69989,-1.415894
9.71991,-1.427246
9.739899,-1.433807
9.759888,-1.431122
9.779907,-1.428589
9.799896,-1.430023
9.819916,-1.439697
9.839905,-1.445618
9.859894,-1.453552
9.879913,-1.461456
9.899902,-1.467346
9.919891,-1.470856
9.939911,-1.474152
9.9599,-1.471222
9.979889,-1.482697
9.999908,-1.474579
10.0199,-1.477722
10.03989,-1.477112
10.05991,-1.463226
10.0799,-1.457184
10.09991,-1.47226
10.1199,-1.468781
10.13989,-1.466949
10.15991,-1.464966
10.1799,-1.447937
10.19989,-1.441437
10.21991,-1.44104
10.2399,-1.432159
10.25989,-1.429657
10.27991,-1.42041
10.2999,-1.414032
10.31992,-1.407867
10.3399,-1.40506
10.35989,-1.393555
10.37991,-1.382965
10.3999,-1.372192
10.41989,-1.351196
10.43991,-1.349365
10.4599,-1.347443
10.47989,-1.345886
10.49991,-1.344757
10.5199,-1.348145
10.53989,-1.352051
10.55991,-1.348114
10.5799,-1.345428
10.59991,-1.349579
10.6199,-1.341949
10.63989,-1.34317
10.65991,-1.351563
10.6799,-1.347565
10.69989,-1.329498
10.71991,-1.344604
10.7399,-1.344299
10.75989,-1.347778
10.77991,-1.349152
10.7999,-1.341339
10.81992,-1.32428
10.8399,-1.308868
10.85989,-1.313385
10.87991,-1.312408
10.8999,-1.318268
10.91989,-1.310791
10.93991,-1.302826
