time,angle
ÿþtime	angle
0.006256104,2.44381
0.02627563,2.446784
0.04626465,2.440837
0.06625366,2.444029
0.08627319,2.442257
0.1062622,2.429408
0.1262512,2.510879
0.1462708,2.7005
0.1662598,3.032743
0.1862793,3.292971
0.2062683,3.449187
0.2262573,3.69324
0.2462769,3.837992
0.2662659,3.923651
0.2862549,3.892861
0.3062744,3.910373
0.3262634,3.867389
0.3462524,3.82378
0.366272,3.767092
0.386261,3.698609
0.40625,3.671989
0.4262695,3.615156
0.4462585,3.552646
0.4662781,3.513329
0.4862671,3.473063
0.5062561,3.483324
0.5262756,3.428102
0.5462646,3.385341
0.5662537,3.258055
0.5862732,3.25143
0.6062622,3.163417
0.6262512,3.103281
0.6462708,3.085751
0.6662598,3.028075
0.6862793,2.976384
0.7062683,2.853389
0.7262573,2.752378
0.7462769,2.699708
0.7662659,2.74947
0.7862549,2.745255
0.8062744,2.72224
0.8262634,2.716242
0.8462524,2.724422
0.866272,2.732224
0.886261,2.727959
0.90625,2.706103
0.9262695,2.67737
0.9462585,2.627343
0.9662781,2.579484
0.9862671,2.555635
1.006256,2.531647
1.026276,2.501468
1.046265,2.489776
1.066254,2.484426
1.086273,2.497436
1.106262,2.526696
1.126251,2.538599
1.146271,2.539132
1.16626,2.520629
1.186279,2.509122
1.206268,2.501617
1.226257,2.477559
1.246277,2.443655
1.266266,2.43859
1.286255,2.414876
1.306274,2.396202
1.326263,2.297287
1.346252,2.194918
1.366272,2.192582
1.386261,2.192724
1.40625,2.16585
1.42627,2.167213
1.446259,2.170047
1.466278,2.198611
1.486267,2.216277
1.506256,2.22638
1.526276,2.230855
1.546265,2.235234
1.566254,2.207866
1.586273,2.176286
1.606262,2.175518
1.626251,2.133674
1.646271,2.132654
1.66626,2.131051
1.686279,2.14193
1.706268,2.14331
1.726257,2.14331
1.746277,2.128584
1.766266,2.131398
1.786255,2.124259
1.806274,2.125227
1.826263,2.117699
1.846252,2.107818
1.866272,2.114087
1.886261,2.112212
1.90625,2.112617
1.92627,2.122695
1.946259,2.163304
1.966278,2.179739
1.986267,2.189084
2.006256,2.198359
2.026276,2.211257
2.046265,2.230488
2.066254,2.241317
2.086273,2.247783
2.106262,2.242363
2.126251,2.242457
2.146271,2.253733
2.16626,2.248677
2.186279,2.27138
2.206268,2.276139
2.226257,2.289541
2.246277,2.278955
2.266266,2.283721
2.286255,2.289763
2.306274,2.298238
2.326263,2.300926
