time,angle
0.01544189,-0.3215637
0.03546143,-0.3190613
0.05548096,-0.3248901
0.07543945,-0.3343506
0.09545898,-0.3581848
0.1154785,-0.3527222
0.135437,-0.350769
0.1554565,-0.3339539
0.1754761,-0.3363953
0.1954346,-0.3272095
0.2154541,-0.3418274
0.2354736,-0.3410339
0.2554321,-0.3456116
0.2754517,-0.3437805
0.2954712,-0.3459473
0.3154907,-0.3621216
0.3354492,-0.3509521
0.3554688,-0.3571777
0.3754883,-0.34375
0.3954468,-0.3294373
0.4154663,-0.3230286
0.4354858,-0.3131104
0.4554443,-0.3090515
0.4754639,-0.3119507
0.4954834,-0.3153687
0.5154419,-0.3245544
0.5354614,-0.3226318
0.555481,-0.3282471
0.5754395,-0.3361206
0.595459,-0.3642578
0.6154785,-0.3650208
0.635437,-0.3837891
0.6554565,-0.3930359
0.6754761,-0.401947
0.6954346,-0.4182129
0.7154541,-0.4132996
0.7354736,-0.4126282
0.7554321,-0.4066467
0.7754517,-0.4065857
0.7954712,-0.4013367
0.8154907,-0.3983154
0.8354492,-0.3905029
0.8554688,-0.381897
0.8754883,-0.37677
0.8954468,-0.3825378
0.9154663,-0.3557739
0.9354858,-0.3631287
0.9554443,-0.3679199
0.9754639,-0.3750305
0.9954834,-0.3882141
1.015442,-0.3961487
1.035461,-0.4046326
1.055481,-0.4184265
1.075439,-0.4342041
1.095459,-0.440155
1.115479,-0.4608765
1.135437,-0.4759216
1.155457,-0.4764404
1.175476,-0.4667053
1.195435,-0.4737854
1.215454,-0.4717102
1.235474,-0.4593811
1.255432,-0.4504395
1.275452,-0.4416199
1.295471,-0.4373169
1.315491,-0.4477234
1.335449,-0.4494019
1.355469,-0.4546814
1.375488,-0.4614868
1.395447,-0.4596252
1.415466,-0.4640808
1.435486,-0.4729309
1.455444,-0.4767151
1.475464,-0.4864197
1.495483,-0.4948425
1.515442,-0.5136414
1.535461,-0.5187683
1.555481,-0.5283508
1.575439,-0.5346375
1.595459,-0.53479
1.615479,-0.5400085
1.635437,-0.5361938
1.655457,-0.5292053
1.675476,-0.5293579
1.695435,-0.5233765
1.715454,-0.523468
1.735474,-0.5179138
1.755432,-0.5108643
1.775452,-0.5137024
1.795471,-0.5117798
1.815491,-0.4971924
1.835449,-0.5004883
1.855469,-0.508667
1.875488,-0.5139465
1.895447,-0.5158997
1.915466,-0.5173035
1.935486,-0.5379028
1.955444,-0.5310059
1.975464,-0.5404663
1.995483,-0.5458069
2.015442,-0.5426025
2.035461,-0.5432434
2.055481,-0.5435181
2.075439,-0.5391235
2.095459,-0.5379944
2.115479,-0.5329895
2.135437,-0.5280151
2.155457,-0.5299683
2.175476,-0.5308838
2.195435,-0.5372925
2.215454,-0.5409546
2.235474,-0.5424805
2.255432,-0.5431519
2.275452,-0.5414124
2.295471,-0.5487061
2.315491,-0.5443115
2.335449,-0.5460815
2.355469,-0.5472717
2.375488,-0.5458679
2.395447,-0.547699
2.415466,-0.5390625
2.435486,-0.5379944
2.455444,-0.550415
2.475464,-0.5338745
2.495483,-0.5270081
2.515442,-0.5289307
2.535461,-0.5280151
2.555481,-0.5290222
2.575439,-0.5161743
2.595459,-0.5108032
2.615479,-0.5076599
2.635437,-0.5075684
2.655457,-0.5089111
2.675476,-0.5113831
2.695435,-0.5080261
2.715454,-0.5053101
2.735474,-0.5071106
2.755432,-0.5061951
2.775452,-0.5075684
2.795471,-0.506012
2.815491,-0.5026245
2.835449,-0.5018005
2.855469,-0.5077515
2.875488,-0.5083618
2.895447,-0.5032959
2.915466,-0.499176
2.935486,-0.4933777
2.955444,-0.5091248
2.975464,-0.5176697
2.995483,-0.5227966
3.015442,-0.5155945
3.035461,-0.5201416
3.055481,-0.5250854
3.075439,-0.5253601
3.095459,-0.5197144
3.115479,-0.519043
3.135437,-0.5138855
3.155457,-0.5177612
3.175476,-0.5093994
3.195435,-0.5205688
3.215454,-0.5361938
3.235474,-0.5413208
3.255432,-0.5502014
3.275452,-0.5529175
3.295471,-0.5604248
3.315491,-0.5620728
3.335449,-0.5760498
3.355469,-0.5767517
3.375488,-0.5879517
3.395447,-0.5931091
3.415466,-0.5979919
3.435486,-0.5990906
3.455444,-0.604187
3.475464,-0.6060486
3.495483,-0.6126404
3.515442,-0.6182861
3.535461,-0.6158752
3.555481,-0.6245117
3.575439,-0.6244507
3.595459,-0.6346436
3.615479,-0.6307678
3.635437,-0.6216125
3.655457,-0.6207886
3.675476,-0.6342468
3.695435,-0.6516418
3.715454,-0.6574097
3.735474,-0.6620178
3.755432,-0.6622009
3.775452,-0.6632996
3.795471,-0.6623535
3.815491,-0.6590271
3.835449,-0.661377
3.855469,-0.6669312
3.875488,-0.6753845
3.895447,-0.6703186
3.915466,-0.6770325
3.935486,-0.6876221
3.955444,-0.6943359
3.975464,-0.716217
3.995483,-0.7326965
4.015442,-0.7617798
4.035461,-0.7698364
4.055481,-0.7958069
4.075439,-0.8110657
4.095459,-0.8340759
4.115479,-0.8531799
4.135437,-0.8622437
4.155457,-0.8603516
4.175476,-0.860199
4.195435,-0.8517456
4.215454,-0.8484802
4.235474,-0.8493958
4.255432,-0.8503113
4.275452,-0.8428345
4.295471,-0.8456421
4.315491,-0.8249512
4.335449,-0.7989502
4.355469,-0.8127441
4.375488,-0.8128662
4.395447,-0.8053894
4.415466,-0.8002319
4.435486,-0.793457
4.455444,-0.7984009
4.475464,-0.8004761
4.495483,-0.8112488
4.515442,-0.8190613
4.535461,-0.822052
4.555481,-0.8344727
4.575439,-0.8368835
4.595459,-0.8571167
4.615479,-0.8542175
4.635437,-0.8695679
4.655457,-0.8668823
4.675476,-0.8645325
4.695435,-0.8678589
4.715454,-0.867157
4.735474,-0.8633118
4.755432,-0.8641052
