time,angle
ÿþtime	angle
0.01983643,-1.490234
0.03979492,-1.466858
0.05981445,-1.395111
0.07983398,-1.302094
0.09979248,-1.224945
0.119812,-1.209442
0.1398315,-1.212616
0.15979,-1.210541
0.1798096,-1.202484
0.1998291,-1.198242
0.2197876,-1.198029
0.2398071,-1.206451
0.2598267,-1.193939
0.2797852,-1.188568
0.2998047,-1.18988
0.3198242,-1.198853
0.3397827,-1.189392
0.3598022,-1.181915
0.3798218,-1.185272
0.3998413,-1.172089
0.4197998,-1.179657
0.4398193,-1.170349
0.4598389,-1.175293
0.4797974,-1.170502
0.4998169,-1.15036
0.5198364,-1.150818
0.5397949,-1.153168
0.5598145,-1.166107
0.579834,-1.163849
0.5997925,-1.189606
0.619812,-1.214355
0.6398315,-1.238678
0.65979,-1.278442
0.6798096,-1.303772
0.6998291,-1.330109
0.7197876,-1.350281
0.7398071,-1.366455
0.7598267,-1.365936
0.7797852,-1.371857
0.7998047,-1.38855
0.8198242,-1.394043
0.8397827,-1.380585
0.8598022,-1.370239
0.8798218,-1.385498
0.8998413,-1.391083
0.9197998,-1.385834
0.9398193,-1.396393
0.9598389,-1.398102
0.9797974,-1.394714
0.9998169,-1.386108
1.019836,-1.379395
1.039795,-1.368103
1.059814,-1.366882
1.079834,-1.36322
1.099792,-1.368439
1.119812,-1.368958
1.139832,-1.357269
1.15979,-1.357544
1.17981,-1.336151
1.199829,-1.340057
1.219788,-1.340637
1.239807,-1.332642
1.259827,-1.335968
1.279785,-1.34436
1.299805,-1.36438
1.319824,-1.408295
1.339783,-1.456085
1.359802,-1.485748
1.379822,-1.488953
1.399841,-1.503601
1.4198,-1.501678
1.439819,-1.491455
1.459839,-1.497528
1.479797,-1.499756
1.499817,-1.500641
1.519836,-1.493256
1.539795,-1.495758
1.559814,-1.486481
1.579834,-1.505249
1.599792,-1.51062
1.619812,-1.509583
1.639832,-1.530334
1.65979,-1.541992
1.67981,-1.535278
1.699829,-1.534149
1.719788,-1.524384
1.739807,-1.507446
1.759827,-1.503265
1.779785,-1.499634
1.799805,-1.514954
1.819824,-1.499939
1.839783,-1.504242
1.859802,-1.50412
1.879822,-1.508453
1.899841,-1.513794
1.9198,-1.524536
1.939819,-1.53302
1.959839,-1.537445
1.979797,-1.540802
1.999817,-1.540131
2.019836,-1.53952
2.039795,-1.519684
2.059814,-1.509186
2.079834,-1.505005
2.099792,-1.469421
2.119812,-1.468903
2.139832,-1.481323
2.15979,-1.483521
2.17981,-1.484802
2.199829,-1.48056
2.219788,-1.476654
2.239807,-1.48407
2.259827,-1.49707
2.279785,-1.514954
2.299805,-1.520935
2.319824,-1.526031
2.339783,-1.534729
2.359802,-1.544739
2.379822,-1.551941
2.399841,-1.555511
2.4198,-1.552612
2.439819,-1.555908
2.459839,-1.55484
2.479797,-1.560974
2.499817,-1.557159
2.519836,-1.551422
2.539795,-1.544739
2.559814,-1.545929
2.579834,-1.55719
2.599792,-1.578644
2.619812,-1.581909
2.639832,-1.592041
2.65979,-1.639984
2.67981,-1.635742
2.699829,-1.650787
2.719788,-1.648346
2.739807,-1.649841
2.759827,-1.646729
2.779785,-1.639832
2.799805,-1.631866
2.819824,-1.626831
2.839783,-1.646301
2.859802,-1.652466
2.879822,-1.647919
2.899841,-1.654785
2.9198,-1.650513
2.939819,-1.659393
2.959839,-1.661926
2.979797,-1.656769
2.999817,-1.658966
3.019836,-1.655426
3.039795,-1.647186
3.059814,-1.645142
3.079834,-1.645294
3.099792,-1.645172
3.119812,-1.645538
3.139832,-1.656647
3.15979,-1.655518
3.17981,-1.659119
3.199829,-1.654663
3.219788,-1.644043
3.239807,-1.611725
3.259827,-1.593079
3.279785,-1.59613
3.299805,-1.595184
3.319824,-1.595581
3.339783,-1.596008
3.359802,-1.590302
3.379822,-1.59024
3.399841,-1.596344
3.4198,-1.589264
3.439819,-1.579468
3.459839,-1.566284
3.479797,-1.555817
3.499817,-1.535095
3.519836,-1.544373
3.539795,-1.560059
3.559814,-1.581665
3.579834,-1.591797
3.599792,-1.589325
3.619812,-1.597961
3.639832,-1.604218
