time,angle
ÿþ0.00604248,1.13031
0.02604675,1.128357
0.04603577,1.119049
0.06604004,1.130096
0.08604431,1.128448
0.1060486,1.12204
0.1260376,1.121216
0.1460419,1.12558
0.1660461,1.117157
0.1860504,1.12146
0.2060394,1.125
0.2260437,1.130737
0.246048,1.141083
0.266037,1.147247
0.2860413,1.146515
0.3060455,1.153442
0.3260498,1.148041
0.3460388,1.138702
0.3660431,1.131531
0.3860474,1.12854
0.4060364,1.135712
0.4260406,1.135223
0.4460449,1.136475
0.4660492,1.140472
0.4860382,1.14212
0.5060425,1.143219
0.5260468,1.142914
0.5460358,1.137695
0.56604,1.144592
0.5860443,1.133179
0.6060486,1.134766
0.6260376,1.133636
0.6460419,1.130707
0.6660461,1.126068
0.6860504,1.130829
0.7060394,1.146759
0.7260437,1.173706
0.746048,1.17868
0.766037,1.173737
0.7860413,1.174957
0.8060455,1.168793
0.8260498,1.173615
0.8460388,1.169159
0.8660431,1.176636
0.8860474,1.170624
0.9060364,1.18103
0.9260406,1.193756
0.9460449,1.202637
0.9660492,1.223297
0.9860382,1.223297
1.006042,1.211823
1.026047,1.20752
1.046036,1.210144
1.06604,1.217682
1.086044,1.216827
1.106049,1.219482
1.126038,1.240814
1.146042,1.241425
1.166046,1.246826
1.18605,1.248688
1.206039,1.248657
1.226044,1.258057
1.246048,1.256805
1.266037,1.256592
1.286041,1.263123
1.306046,1.279205
1.32605,1.272064
1.346039,1.27301
1.366043,1.291077
1.386047,1.299774
1.406036,1.308624
1.426041,1.312775
1.446045,1.301849
1.466049,1.2995
1.486038,1.299805
1.506042,1.300354
1.526047,1.309174
1.546036,1.309967
1.56604,1.317841
1.586044,1.342377
1.606049,1.347198
1.626038,1.358093
1.646042,1.358704
1.666046,1.350891
1.68605,1.342957
1.706039,1.338654
1.726044,1.33316
1.746048,1.332947
1.766037,1.334229
1.786041,1.331696
1.806046,1.345978
1.82605,1.350769
1.846039,1.35083
1.866043,1.354736
1.886047,1.360168
1.906036,1.364532
1.926041,1.370911
1.946045,1.356018
1.966049,1.351257
1.986038,1.356567
2.006042,1.356567
2.026047,1.366821
2.046036,1.366821
2.06604,1.37912
2.086044,1.381592
2.106049,1.383636
2.126038,1.387756
2.146042,1.39325
2.166046,1.395294
2.18605,1.408997
2.206039,1.400513
2.226044,1.411743
2.246048,1.414459
2.266037,1.410004
2.286041,1.421661
2.306046,1.422943
2.32605,1.437042
2.346039,1.415131
2.366043,1.411011
2.386047,1.407104
2.406036,1.404938
2.426041,1.409882
2.446045,1.41153
2.466049,1.426666
2.486038,1.427612
2.506042,1.443359
2.526047,1.448151
2.546036,1.450531
2.56604,1.453278
2.586044,1.46347
2.606049,1.463806
2.626038,1.475342
2.646042,1.470123
2.666046,1.469788
2.68605,1.46637
2.706039,1.475037
2.726044,1.485138
2.746048,1.496613
2.766037,1.494537
2.786041,1.492279
2.806046,1.480743
2.82605,1.484894
2.846039,1.491211
2.866043,1.498016
2.886047,1.493622
2.906036,1.496277
2.926041,1.497925
