time,angle
ÿþ0.01243019,1.561249
0.03243065,1.553375
0.0524292,1.535706
0.07242966,1.562317
0.09243011,1.529633
0.1124306,1.530396
0.132431,1.565857
0.1524296,1.57489
0.17243,1.546112
0.1924305,1.635284
0.212431,1.647491
0.2324295,1.678894
0.25243,1.667938
0.2724304,1.666199
0.2924309,1.54837
0.3124294,1.484558
0.3324299,1.401947
0.3524303,1.361023
0.3724308,1.342041
0.3924294,1.359314
0.4124298,1.350555
0.4324303,1.340424
0.4524307,1.358734
0.4724293,1.354736
0.4924297,1.395172
0.5124302,1.362427
0.5324306,1.380951
0.5524292,1.378052
0.5724297,1.364288
0.5924301,1.367004
0.6124306,1.348267
0.632431,1.344635
0.6524296,1.337097
0.67243,1.346069
0.6924305,1.354431
0.712431,1.364075
0.7324295,1.359589
0.75243,1.364197
0.7724304,1.360016
0.7924309,1.336823
0.8124294,1.34726
0.8324299,1.388397
0.8524303,1.38092
0.8724308,1.392426
0.8924294,1.38916
0.9124298,1.384308
0.9324303,1.360382
0.9524307,1.349426
0.9724293,1.343048
0.9924297,1.317474
1.01243,1.297485
1.032431,1.260529
1.052429,1.271454
1.07243,1.252838
1.09243,1.238617
1.112431,1.2323
1.132431,1.209076
1.15243,1.203827
1.17243,1.198578
1.19243,1.182678
1.212431,1.177887
1.23243,1.186157
1.25243,1.176453
1.27243,1.16806
1.292431,1.168091
1.312429,1.157959
1.33243,1.156311
1.35243,1.151276
1.372431,1.149536
1.392429,1.154785
1.41243,1.161102
1.43243,1.160889
1.452431,1.169617
1.472429,1.188354
1.49243,1.203247
1.51243,1.204895
1.532431,1.217438
1.552429,1.236969
1.57243,1.241425
1.59243,1.278839
1.612431,1.281433
1.632431,1.289429
1.65243,1.287933
1.67243,1.276733
1.69243,1.275116
1.712431,1.2771
1.73243,1.278656
1.75243,1.282532
1.77243,1.279327
1.792431,1.28241
1.812429,1.295929
1.83243,1.312408
1.85243,1.330536
1.872431,1.342407
1.892429,1.358551
1.91243,1.357513
1.93243,1.376129
1.952431,1.381622
1.972429,1.395355
1.99243,1.41272
2.01243,1.461243
2.032431,1.463776
2.052429,1.494476
2.07243,1.50058
2.09243,1.511871
2.112431,1.534271
2.132431,1.549561
2.15243,1.558899
2.17243,1.568817
2.19243,1.556824
2.212431,1.563324
2.23243,1.562714
2.25243,1.568665
2.27243,1.562012
2.292431,1.574188
2.312429,1.614319
2.33243,1.655914
2.35243,1.71759
2.372431,1.704712
2.392429,1.732971
2.41243,1.756989
2.43243,1.775085
2.452431,1.779053
2.472429,1.783081
2.49243,1.788788
2.51243,1.795441
2.532431,1.797363
2.552429,1.797089
2.57243,1.801117
2.59243,1.814545
2.612431,1.817078
2.632431,1.825897
2.65243,1.824036
2.67243,1.83548
2.69243,1.85434
2.712431,1.868683
2.73243,1.873383
2.75243,1.902985
2.77243,1.93399
2.792431,1.945404
2.812429,1.963959
2.83243,1.979492
2.85243,1.979492
2.872431,1.972015
2.892431,1.962494
2.912432,1.964539
