time,angle
ÿþ0.0026474,1.443726
0.02264404,1.411285
0.04264832,1.366547
0.06264496,1.319061
0.08264923,1.283081
0.1026459,1.278473
0.1226501,1.290619
0.1426468,1.310425
0.1626511,1.338074
0.1826477,1.350159
0.2026443,1.342621
0.2226486,1.330414
0.2426453,1.317474
0.2626495,1.308746
0.2826462,1.283478
0.3026505,1.28302
0.3226471,1.264404
0.3426514,1.237274
0.362648,1.215118
0.3826447,1.223328
0.4026489,1.2258
0.4226456,1.249573
0.4426498,1.22644
0.4626465,1.220398
0.4826508,1.203125
0.5026474,1.208313
0.522644,1.218842
0.5426483,1.233032
0.562645,1.23468
0.5826492,1.25058
0.6026459,1.260498
0.6226501,1.276978
0.6426468,1.272949
0.6626511,1.298859
0.6826477,1.292023
0.7026443,1.281799
0.7226486,1.247467
0.7426453,1.238373
0.7626495,1.251495
0.7826462,1.253143
0.8026505,1.24942
0.8226471,1.238922
0.8426514,1.23587
0.862648,1.234863
0.8826447,1.239105
0.9026489,1.24823
0.9226456,1.244354
0.9426498,1.244629
0.9626465,1.235962
0.9826508,1.240387
1.002647,1.251373
1.022644,1.245819
1.042648,1.240997
1.062645,1.238281
1.082649,1.235931
1.102646,1.221466
1.12265,1.204224
1.142647,1.209747
1.162651,1.233612
1.182648,1.239349
1.202644,1.238037
1.222649,1.227112
1.242645,1.211578
1.26265,1.198425
1.282646,1.187805
1.30265,1.183289
1.322647,1.224518
1.342651,1.24411
1.362648,1.270111
1.382645,1.250397
1.402649,1.256042
1.422646,1.271118
1.44265,1.279144
1.462646,1.190186
1.482651,1.139954
1.502647,1.096985
1.522644,1.066925
1.542648,1.049713
1.562645,1.054749
1.582649,1.05954
1.602646,1.055115
1.62265,1.077606
1.642647,1.098602
1.662651,1.129883
1.682648,1.137482
1.702644,1.132446
1.722649,1.077576
1.742645,1.043121
1.76265,1.014008
1.782646,0.9452515
1.80265,0.9486084
1.822647,0.9288635
1.842651,0.868927
1.862648,0.8358459
1.882645,0.8222961
1.902649,0.8057861
1.922646,0.8044739
1.94265,0.8261719
1.962646,0.8756714
1.982651,0.8974304
2.002647,0.9078979
2.022644,0.952179
2.042648,0.9674377
2.062645,1.005615
2.082649,1.040222
2.102646,1.040985
2.12265,1.045135
2.142647,1.032501
2.162651,1.036987
2.182648,0.9973145
2.202644,0.9876709
2.222649,0.9667969
2.242645,0.9825134
2.26265,1.00705
2.282646,1.045135
2.30265,1.102203
2.322647,1.07486
2.342651,1.077118
2.362648,1.055603
2.382645,1.046448
2.402649,1.051178
2.422646,1.032715
2.44265,1.020233
2.462646,1.002472
2.482651,0.9976501
2.502647,0.9795837
2.522644,0.9674683
2.542648,0.945282
2.562645,0.9326782
2.582649,0.9106445
2.602646,0.9009399
2.62265,0.8666992
2.642647,0.8475037
2.662651,0.8082275
2.682648,0.7963257
2.702644,0.7969666
2.722649,0.8146973
2.742645,0.815155
2.76265,0.8149719
2.782646,0.8103943
2.80265,0.8036194
2.822647,0.7907715
2.842651,0.7800598
2.862648,0.7729492
2.882645,0.7806091
2.902649,0.7802429
2.922646,0.7888184
2.94265,0.7922363
2.962646,0.7922363
2.982651,0.7938232
3.002647,0.7974243
3.022644,0.7893066
3.042648,0.7890015
3.062645,0.7900391
3.082649,0.79245
3.102646,0.7899475
3.12265,0.7894897
3.142647,0.8068848
3.162651,0.8275757
3.182648,0.8729248
3.202644,0.9205933
3.222649,0.9311218
3.242645,0.9559326
3.26265,0.9836731
3.282646,1.013153
3.30265,1.044189
3.322647,1.035919
3.342651,1.043945
3.362648,1.052155
3.382645,1.058197
3.402649,1.062012
3.422646,1.064484
3.44265,1.119873
3.462646,1.172272
3.482651,1.191528
3.502647,1.228455
3.522644,1.259827
3.542648,1.282806
3.562645,1.294586
3.582649,1.293945
3.602646,1.307953
3.62265,1.318268
3.642647,1.345398
3.662651,1.366943
3.682648,1.420593
3.702644,1.423645
3.722649,1.472229
3.742645,1.46701
3.76265,1.468689
3.782646,1.481049
3.80265,1.479248
3.822647,1.481659
3.842651,1.49527
3.862648,1.500549
3.882645,1.493408
3.902649,1.493073
3.922646,1.477448
3.94265,1.425415
3.962646,1.428528
3.982651,1.381744
4.002647,1.383545
4.022644,1.31958
4.042648,1.28772
4.062645,1.219391
4.082649,1.170349
4.102646,1.156342
4.12265,1.095978
4.142647,1.082977
4.162651,1.081818
4.182648,1.072784
4.202644,1.055237
4.222649,1.020569
4.242645,0.9833069
4.26265,0.9702454
4.282646,0.95755
4.30265,0.9432373
4.322647,0.943573
4.342651,0.9390564
4.362648,0.9356079
4.382645,0.9237976
4.402649,0.9279785
4.422646,0.938385
4.44265,0.9420776
4.462646,0.9493103
4.482651,0.9424744
4.502647,0.9513245
4.522644,0.9510803
4.542648,0.9686584
4.562645,0.9923096
4.582649,1.040924
4.602646,1.033508
4.62265,1.042542
4.642647,1.046143
4.662651,1.073029
4.682648,1.090149
4.702644,1.098511
4.722649,1.137817
4.742645,1.138885
4.76265,1.111572
4.782646,1.093811
4.80265,1.074188
4.822647,1.015076
4.842651,0.9859009
4.862648,0.9354553
4.882645,0.8826599
4.902649,0.8745422
4.922646,0.8598938
4.94265,0.8195496
4.962646,0.8195496
4.982651,0.7516785
5.002647,0.7559204
5.022644,0.7050476
5.042648,0.7003479
5.062645,0.6876526
5.082649,0.6645813
5.102646,0.663269
5.12265,0.6538086
5.142647,0.6446533
5.162651,0.6512756
5.182648,0.6562195
5.202644,0.6732788
5.222649,0.6858826
5.242645,0.7059631
5.26265,0.7192078
5.282646,0.7204285
5.30265,0.7212219
5.322647,0.7077332
5.342651,0.7116089
5.362648,0.6819763
5.382645,0.6296997
5.402649,0.6159058
5.422646,0.5979919
5.44265,0.6315918
5.462646,0.6440735
5.482651,0.6604919
5.502647,0.5730591
5.522644,0.4953613
5.542648,0.4692688
5.562645,0.2953796
5.582649,0.2879333
5.602646,0.2643127
5.62265,0.2277832
5.642647,0.1566772
5.662651,0.06869507
5.682648,0.03320313
5.702644,0.04641724
5.722649,0.07128906
5.742645,0.07974243
5.76265,0.1125183
5.782646,0.08874512
5.80265,0.0291748
5.822647,0.03575652
5.842651,0.2312729
5.862648,0.3346233
5.882645,0.3409775
5.902649,0.3871781
5.922646,0.4762038
5.94265,0.4986373
5.962646,0.5357029
5.982651,0.5959466
6.002647,0.6785328
6.022644,0.6870624
6.042648,0.6861097
6.062645,0.6848634
6.082649,0.701468
6.102646,0.699327
6.12265,0.7746456
6.142647,0.8535871
6.162651,0.8976408
6.182648,1.018901
6.202644,1.094022
6.222649,1.178545
6.242645,1.178545
6.26265,1.261042
6.282646,1.343262
6.30265,1.390271
6.322647,1.422062
6.342651,1.470621
6.362648,1.473253
6.382645,1.502305
6.402649,1.489043
6.422646,1.464918
6.44265,1.464918
6.462646,1.360354
6.482651,1.280433
6.502647,1.215402
6.522644,1.208574
6.542648,1.158517
6.562645,1.130912
6.582649,1.08138
6.602646,0.9743859
6.62265,0.9743859
6.642647,0.9686438
6.662651,0.9722968
6.682648,1.035048
6.702644,1.036058
6.722649,1.028712
6.742645,1.07503
6.76265,1.105207
6.782646,1.162228
6.80265,1.178625
6.822647,1.178625
6.842651,1.219661
6.862648,1.26241
6.882645,1.267403
6.902649,1.271427
6.922646,1.271693
6.94265,1.234563
6.962646,1.245627
6.982651,1.237589
7.002647,1.240912
7.022644,1.240912
7.042648,1.238812
7.062645,1.237043
7.082649,1.248361
7.102646,1.260794
7.12265,1.273066
7.142647,1.284417
7.162651,1.282625
7.182648,1.277591
7.202644,1.276185
7.222649,1.27019
7.242645,1.274244
7.26265,1.275602
7.282646,1.262692
7.30265,1.259289
7.322647,1.219807
7.342651,1.216998
7.362648,1.197634
7.382645,1.200322
7.402649,1.186441
7.422646,1.183372
7.44265,1.192851
7.462646,1.198342
7.482651,1.211576
7.502647,1.201439
7.522644,1.207062
7.542648,1.225384
7.562645,1.224194
7.582649,1.223636
7.602646,1.194271
7.62265,1.189081
7.642647,1.162727
7.662651,1.119519
7.682648,1.086626
7.702644,1.052879
7.722649,1.041659
7.742645,0.9759131
7.76265,0.9363557
7.782646,0.9428846
7.80265,0.9074619
7.822647,0.9060344
7.842651,0.9096504
7.862648,0.905452
7.882645,0.9067715
7.902649,0.9087685
7.922646,0.9087687
7.94265,0.9214492
7.962646,0.9213586
7.982651,0.9396396
8.002647,0.9358572
8.022644,0.9118235
8.042648,0.8774455
8.062645,0.8889656
8.082649,0.8831232
8.102646,0.8724597
8.12265,0.8585607
8.142647,0.8645715
8.162651,0.8530802
8.182648,0.8514883
8.202644,0.8466306
8.222649,0.8265365
8.242645,0.8425459
8.26265,0.8463057
8.282646,0.846831
8.30265,0.8431805
8.322647,0.8452477
8.342651,0.8507416
8.362648,0.8639081
8.382645,0.8642662
8.402649,0.8695537
8.422646,0.8576173
8.44265,0.8576173
8.462646,0.8554357
8.482651,0.8414095
8.502647,0.8175943
8.522644,0.8114044
8.542648,0.799916
8.562645,0.7786399
8.582649,0.7588742
8.602646,0.755882
8.62265,0.7426823
8.642647,0.7426821
8.662651,0.7217571
8.682648,0.7027608
8.702644,0.693707
8.722649,0.6745878
8.742645,0.6687831
8.76265,0.6610913
8.782646,0.6584628
8.80265,0.6630875
8.822647,0.6630883
8.842644,0.6583996
8.862648,0.6332234
8.882645,0.6118147
8.902649,0.6129252
8.922646,0.6084453
8.94265,0.6128328
8.962646,0.6149858
8.982651,0.607898
9.002647,0.6084948
9.022644,0.5968604
9.042648,0.5968602
9.062645,0.5991577
9.082649,0.6101812
9.102646,0.6277226
9.12265,0.6436368
9.142647,0.6678703
9.162651,0.6803789
9.182648,0.7070544
9.202644,0.7102489
9.222649,0.710249
9.242645,0.7266192
9.26265,0.7353583
9.282646,0.7579055
9.30265,0.7539172
9.322647,0.762699
9.342644,0.7596388
9.362648,0.7550226
9.382645,0.7412909
9.402649,0.7454193
9.422646,0.7375599
9.44265,0.7298056
9.462646,0.7266442
9.482651,0.7291307
9.502647,0.726631
9.522644,0.7306974
9.542648,0.7324524
9.562645,0.7270393
9.582649,0.727918
9.602646,0.7328007
9.62265,0.7281161
9.642647,0.704611
9.662651,0.6987759
9.682648,0.6970334
9.702644,0.7084401
9.722649,0.7157913
9.742645,0.7257107
9.76265,0.7298343
9.782646,0.7397983
9.80265,0.739527
9.822647,0.7359012
9.842644,0.7308223
9.862648,0.7223001
9.882645,0.7125738
9.902649,0.7024094
9.922646,0.707144
9.94265,0.7018989
9.962646,0.715398
9.982651,0.7064776
10.00265,0.7135438
10.02264,0.70087
10.04265,0.6968593
10.06264,0.6741623
10.08265,0.6741623
10.10265,0.6712192
10.12265,0.6677654
10.14265,0.6615161
10.16265,0.6664015
10.18265,0.6695097
10.20264,0.6803905
10.22265,0.6920685
10.24265,0.6877404
10.26265,0.7047667
10.28265,0.7243855
10.30265,0.7249282
10.32265,0.7305335
10.34264,0.746399
10.36265,0.7537945
10.38264,0.7341611
10.40265,0.7283674
10.42265,0.7016189
10.44265,0.7049265
10.46265,0.7000042
10.48265,0.6825132
10.50265,0.6835561
10.52264,0.6744855
10.54265,0.654799
10.56264,0.64405
10.58265,0.6409768
10.60265,0.6206236
10.62265,0.6119012
10.64265,0.6079894
10.66265,0.5997471
10.68265,0.608001
10.70264,0.6037167
10.72265,0.6066648
10.74265,0.5981268
10.76265,0.5897536
10.78265,0.5787158
10.80265,0.5815157
10.82265,0.5704992
10.84264,0.5552607
10.86265,0.5429546
