time,angle
ÿþ0.01535034,2.275176
0.03536987,2.285175
0.05535889,2.300295
0.0753479,2.315348
0.09536743,2.316597
0.1153564,2.345788
0.1353455,2.361839
0.155365,2.365423
0.175354,2.359051
0.1953735,2.365527
0.2153625,2.364081
0.2353516,2.374926
0.2553711,2.373916
0.2753601,2.386228
0.2953491,2.402117
0.3153687,2.396823
0.3353577,2.398229
0.3553467,2.398914
0.3753662,2.400644
0.3953552,2.400321
0.4153748,2.40459
0.4353638,2.416523
0.4553528,2.419098
0.4753723,2.420674
0.4953613,2.420743
0.5153503,2.429798
0.5353699,2.417828
0.5553589,2.413323
0.5753479,2.418072
0.5953674,2.420003
0.6153564,2.417349
0.6353455,2.411059
0.655365,2.390574
0.675354,2.389045
0.6953735,2.383303
0.7153625,2.397386
0.7353516,2.391504
0.7553711,2.389755
0.7753601,2.393007
0.7953491,2.395646
0.8153687,2.380418
0.8353577,2.374444
0.8553467,2.367297
0.8753662,2.370874
0.8953552,2.37407
0.9153748,2.386915
0.9353638,2.395196
0.9553528,2.412955
0.9753723,2.423049
0.9953613,2.423051
1.01535,2.432511
1.03537,2.438428
1.055359,2.451019
1.075348,2.456097
1.095367,2.458443
1.115356,2.458384
1.135345,2.475933
1.155365,2.487702
1.175354,2.498703
1.195374,2.503676
1.215363,2.518947
1.235352,2.535137
1.255371,2.541081
1.27536,2.542259
1.295349,2.555125
1.315369,2.560847
1.335358,2.573192
1.355347,2.605215
1.375366,2.604143
1.395355,2.620636
1.415375,2.644992
1.435364,2.651995
1.455353,2.642443
1.475372,2.647035
1.495361,2.647497
1.51535,2.6458
1.53537,2.639388
1.555359,2.626355
1.575348,2.611914
1.595367,2.616412
1.615356,2.602298
1.635345,2.602298
1.655365,2.602644
1.675354,2.600773
1.695374,2.583782
1.715363,2.586795
1.735352,2.573091
1.755371,2.554184
1.77536,2.538772
1.795349,2.528903
1.815369,2.529574
1.835358,2.52857
1.855347,2.527637
1.875366,2.52815
1.895355,2.537034
1.915375,2.54835
1.935364,2.537786
1.955353,2.523369
1.975372,2.529377
1.995361,2.524918
2.01535,2.52083
2.03537,2.504949
2.055359,2.505588
2.075348,2.50582
2.095367,2.510639
2.115356,2.510541
2.135345,2.518744
2.155365,2.512246
2.175354,2.508648
2.195374,2.504467
2.215363,2.498129
2.235352,2.50751
2.255371,2.514055
2.27536,2.525347
2.295349,2.54387
2.315369,2.572941
2.335358,2.578996
2.355347,2.604794
2.375366,2.617397
2.395355,2.646179
2.415375,2.665925
2.435364,2.674441
2.455353,2.68452
2.475372,2.680434
2.495361,2.707764
2.51535,2.715521
2.53537,2.720062
2.555359,2.728129
2.575348,2.738261
2.595367,2.756324
2.615356,2.75701
