time,angle
ÿþ0.01423359,0.1777129
0.03423405,0.1692829
0.05423355,0.1719813
0.07423401,0.1633782
0.09423447,0.1631977
0.114234,0.1699323
0.1342344,0.1580902
0.1542339,0.1448676
0.1742344,0.1452438
0.1942339,0.1370432
0.2142344,0.1124942
0.2342339,0.0810333
0.2542343,0.07546438
0.2742338,0.07658441
0.2942343,0.06422222
0.3142338,0.05167557
0.3342342,0.0492495
0.3542337,0.04245481
0.3742342,0.041305
0.3942337,0.04226955
0.4142342,0.0370753
0.4342337,0.03693047
0.4542341,0.04296128
0.4742336,0.03773812
0.4942341,0.03822553
0.5142336,0.03473527
0.534234,0.03736946
0.5542336,0.04395434
0.574234,0.05235419
0.5942345,0.05282256
0.614234,0.05608992
0.6342344,0.05919435
0.6542339,0.05710802
0.6742344,0.0598451
0.6942339,0.06485678
0.7142344,0.06208871
0.7342339,0.07069324
0.7542343,0.08327372
0.7742338,0.09252223
0.7942343,0.1239477
0.8142338,0.132404
0.8342342,0.156965
0.8542337,0.1846305
0.8742342,0.1958948
0.8942337,0.2236144
0.9142342,0.2554615
0.9342337,0.2818916
0.9542341,0.305606
0.9742336,0.3095749
0.9942341,0.3259873
1.014234,0.3579081
1.034234,0.3487051
1.054234,0.3476071
1.074234,0.3515727
1.094234,0.3514098
1.114234,0.359396
1.134234,0.3684151
1.154234,0.3756482
1.174234,0.3813039
1.194234,0.3813039
1.214234,0.3861385
1.234234,0.3755899
1.254234,0.3913241
1.274234,0.3965991
1.294234,0.3925098
1.314234,0.3957188
1.334234,0.4161684
1.354234,0.4172757
1.374234,0.4229892
1.394234,0.4337725
1.414234,0.474366
1.434234,0.5103938
1.454234,0.5121847
1.474234,0.542639
1.494234,0.5420694
1.514234,0.6004349
1.534234,0.6314304
1.554234,0.6881773
1.574234,0.7449854
1.594234,0.7577487
1.614234,0.806555
1.634234,0.8379068
1.654234,0.8321003
1.674234,0.8760142
1.694234,0.8646765
1.714234,0.8571221
1.734234,0.8586486
1.754234,0.8493966
1.774234,0.8248802
1.794234,0.8278996
1.814234,0.7961794
1.834234,0.7733206
1.854234,0.769227
1.874234,0.7704921
1.894234,0.7705937
1.914234,0.7569506
1.934234,0.7623507
1.954234,0.7658212
1.974234,0.7632891
1.994234,0.7728739
2.014234,0.7716559
2.034234,0.7606085
2.054234,0.7651815
2.074234,0.7836987
2.094234,0.7649746
2.114234,0.7249983
2.134234,0.7188578
2.154234,0.7419717
2.174234,0.7459197
2.194234,0.7688435
2.214234,0.7741911
2.234234,0.7709426
2.254234,0.7372745
2.274234,0.728725
2.294234,0.6439911
2.314234,0.5099766
2.334234,0.4490895
2.354234,0.3765846
2.374234,0.2999218
2.394234,0.2752254
2.414234,0.2157037
2.434234,0.1670282
2.454234,0.09805605
2.474234,0.05845514
2.494234,0.05412753
2.514234,0.05857502
2.534234,0.1001033
2.554234,0.1062656
2.574234,0.1254244
2.594234,0.1316137
2.614234,0.1434181
2.634233,0.1430066
2.654234,0.1482506
2.674234,0.1531751
2.694234,0.1536009
2.714234,0.1574217
2.734234,0.1608807
2.754234,0.1492051
2.774234,0.1468121
2.794234,0.1381147
2.814234,0.1314356
2.834234,0.1162581
