time,angle
ÿþ0.00340271,1.822881
0.02340698,1.827948
0.04341125,1.851435
0.06341553,1.848896
0.08340454,1.86325
0.1034088,1.882239
0.1234131,1.892567
0.1434021,1.90197
0.1634064,1.909693
0.1834106,1.926148
0.2034149,1.924373
0.2234039,1.958264
0.2434082,1.966183
0.2634125,1.974749
0.2834015,1.969442
0.3034058,1.995875
0.32341,1.990938
0.3434143,2.015196
0.3634033,2.012509
0.3834076,2.026477
0.4034119,2.038855
0.4234161,2.032252
0.4434052,2.037933
0.4634094,2.033858
0.4834137,2.04077
0.5034027,2.064751
0.523407,2.06212
0.5434113,2.087052
0.5634155,2.091037
0.5834045,2.101914
0.6034088,2.115351
0.6234131,2.119234
0.6434021,2.084014
0.6634064,2.049397
0.6834106,2.043925
0.7034149,2.045808
0.7234039,2.050838
0.7434082,2.057946
0.7634125,2.069181
0.7834015,2.071388
0.8034058,2.095137
0.82341,2.103277
0.8434143,2.117206
0.8634033,2.129609
0.8834076,2.139303
0.9034119,2.152685
0.9234161,2.160017
0.9434052,2.159933
0.9634094,2.166701
0.9834137,2.17378
1.003403,2.169125
1.023407,2.171416
1.043411,2.176096
1.063416,2.178242
1.083405,2.186391
1.103409,2.188054
1.123413,2.190916
1.143402,2.201784
1.163406,2.19539
1.183411,2.226404
1.203415,2.267795
1.223404,2.272699
1.243408,2.292209
1.263412,2.307598
1.283401,2.324518
1.303406,2.340327
1.32341,2.352784
1.343414,2.361298
1.363403,2.369883
1.383408,2.36089
1.403412,2.358416
1.423416,2.342442
1.443405,2.322302
1.463409,2.322303
1.483414,2.311636
1.503403,2.286958
1.523407,2.261291
1.543411,2.216328
1.563416,2.212351
1.583405,2.187803
1.603409,2.17646
1.623413,2.156679
1.643402,2.163791
1.663406,2.151712
1.683411,2.155998
1.703415,2.136802
1.723404,2.119718
1.743408,2.1151
1.763412,2.109941
1.783401,2.107484
1.803406,2.103165
1.82341,2.099515
1.843414,2.096009
1.863403,2.103495
1.883408,2.110695
1.903412,2.117632
1.923416,2.125174
1.943405,2.138713
1.963409,2.135601
1.983414,2.139263
2.003403,2.132869
2.023407,2.139658
2.043411,2.139023
2.063416,2.144834
2.083405,2.146982
2.103409,2.1514
2.123413,2.159636
2.143402,2.172866
2.163406,2.177238
2.183411,2.178766
2.203415,2.180627
2.223404,2.178485
2.243408,2.166676
2.263412,2.171542
2.283401,2.17342
2.303406,2.189739
2.32341,2.207062
2.343414,2.208111
2.363403,2.21778
2.383408,2.228204
2.403412,2.235724
2.423416,2.21204
2.443405,2.192909
2.463409,2.186122
2.483414,2.190053
