tag,min,max,mid
FW PT01A XQ01,388,,
FW PT02A XQ01,388,,
FW PT03A XQ01,388,,
DW PT01A XQ01,,0.5,
FP XAPT21 MM ZQ05,,0.8,
FW FCV01B YQ01,,0,
HE LT01 M XQ03,,824,
HE LT01 XQ01,,824,
FP XAYT20 XQ21,150,,
FP XAYT21 XQ21,150,,
FP XAYT22 XQ21,150,,
FP XAYT23 XQ21,150,,
FP XAYT24 XQ21,150,,
FP XAYT25 XQ21,-0.7,0.7,
FP XAYT26 XQ21,-0.7,0.7,
FP XAYT11 XQ21,150,,
FP XAYT12 XQ21,150,,
FP XAYT13 XQ21,150,,
FP XAYT14 XQ21,150,,
FP XAYT15 XQ21,-0.7,0.7,
FP XAYT16 XQ21,-0.7,0.7,
FP XAYT51 XQ21,10,,
FP XAYT52 XQ21,10,,
FP XATT21 XQ01,95,,
FP XATT22 XQ01,95,,
FP XATT23 XQ01,100,,
FP XATT24 XQ01,100,,
FP XATT25 A XQ01,95,,
FP XATT25 XQ01,95,,
FP XATT26 A XQ01,95,,
FP XATT26 XQ01,95,,
FP XATT11 XQ01,95,,
FP XATT12 XQ01,95,,
FP XATT13 XQ01,100,,
FP XATT14 XQ01,100,,
FP XATT15 A XQ01,95,,
FP XATT15 XQ01,95,,
FP XATT16 A XQ01,95,,
FP XATT16 XQ01,95,,
FP XATT51 XQ01,95,,
FP XATT53 XQ01,95,,
FP XATT52 XQ01,95,,
FP XATT54 XQ01,95,,
PA XAPS51 L XG02,,2,
PA XAPS52 LL XG04,,2,
PA XAPS53 LL XG04,,2,
PA XAPS54 LL XG04,,2,
PA XAYT55 XQ21,100,,
PA XAYT56 XQ21,100,,
PA XAYT57 XQ21,100,,
PA XAYT58 XQ21,100,,
PA XAYT53 XQ21,313,,
PA XAYT54 XQ21,313,,
PA XAYT51 XQ21,313,,
PA XAYT52 XQ21,313,,
PA XATT51 XQ01,80,,
PA XATT52 XQ01,80,,
PA XAPS51 L XG02,,2.3,
PA XAPS52 LL XG04,,2.3,
PA XAPS53 LL XG04,,2.3,
PA XAPS54 LL XG04,,2.3,
PC AI52C Y XQ11,400,,
PC AI52C Y XQ12,400,,
PC AI52C Y XQ13,400,,
FG XAYS01 HH XJ03,15,,
